RGIId,GLIMSId,BgnDate,EndDate,CenLon,CenLat,O1Region,O2Region,Area,Zmin,Zmax,Zmed,Slope,Aspect,Lmax,Status,Connect,Form,TermType,Surging,Linkages,Name
RGI60-03.00001,G291970E81024N,19999999,20039999, -68.030200000,  81.023700000, 3, 3,         5.123,  348, 1206,  918,  9.0, 146,  5401, 0, 0, 0, 0, 0, 9,
RGI60-03.00002,G291116E81140N,19999999,20039999, -68.884400000,  81.140300000, 3, 3,         0.569,  759, 1241, 1028, 19.0,   8,  1810, 0, 0, 0, 0, 0, 9,
RGI60-03.00003,G290896E80922N,19999999,20039999, -69.104300000,  80.922300000, 3, 3,         3.736,  536, 1024,  889,  7.4,  11,  4792, 0, 0, 0, 0, 0, 9,
RGI60-03.00004,G290799E80877N,19999999,20039999, -69.200600000,  80.877200000, 3, 3,         2.259,  954, 1389, 1135, 13.1, 305,  2974, 0, 0, 0, 0, 0, 9,
RGI60-03.00005,G290742E80869N,19999999,20039999, -69.258500000,  80.868700000, 3, 3,         4.057,  750, 1372, 1109, 10.1,  29,  3673, 0, 0, 0, 0, 0, 9,
RGI60-03.00006,G290813E80859N,19999999,20039999, -69.187500000,  80.859100000, 3, 3,         0.419,  814, 1113,  990, 13.6, 116,  1493, 0, 0, 0, 0, 0, 9,
RGI60-03.00007,G290676E80864N,19999999,20039999, -69.324300000,  80.864000000, 3, 3,         3.763, 1060, 1406, 1243, 12.0,  55,  2437, 0, 0, 0, 0, 0, 9,
RGI60-03.00008,G290636E80883N,19999999,20039999, -69.364200000,  80.883000000, 3, 3,         1.268,  848, 1312, 1073, 17.4,  18,  1602, 0, 0, 0, 0, 0, 9,
RGI60-03.00009,G290593E80875N,19999999,20039999, -69.407200000,  80.875000000, 3, 3,         0.713,  879, 1266, 1087, 18.2, 313,  1309, 0, 0, 0, 0, 0, 9,
RGI60-03.00010,G290585E80889N,19999999,20039999, -69.414800000,  80.888800000, 3, 3,         0.476,  867, 1255, 1088, 19.5,   5,  1150, 0, 0, 0, 0, 0, 9,
RGI60-03.00011,G290217E80979N,19999999,20039999, -69.783400000,  80.978800000, 3, 3,        25.559,  497, 1458, 1159,  8.3, 347, 12390, 0, 0, 1, 0, 0, 9,
RGI60-03.00012,G290065E80984N,19999999,20039999, -69.934600000,  80.983600000, 3, 3,         4.427,  909, 1225, 1122, 10.2, 319,  1721, 0, 0, 1, 0, 0, 9,
RGI60-03.00013,G291207E81129N,19999999,20039999, -68.793400000,  81.129000000, 3, 3,         6.962,  616, 1410, 1065, 12.0, 357,  5098, 0, 0, 0, 0, 0, 9,
RGI60-03.00014,G289934E80936N,19999999,20039999, -70.066400000,  80.936400000, 3, 3,        85.034,  595, 1559, 1301,  7.4, 348, 14350, 0, 0, 1, 0, 0, 9,
RGI60-03.00015,G290334E80937N,19999999,20039999, -69.666400000,  80.937400000, 3, 3,         0.654, 1172, 1417, 1365, 11.9, 154,   562, 0, 0, 0, 0, 0, 9,
RGI60-03.00016,G290295E80927N,19999999,20039999, -69.704600000,  80.927000000, 3, 3,         2.497,  802, 1396, 1160, 14.2, 106,  3321, 0, 0, 0, 0, 0, 9,
RGI60-03.00017,G290214E80918N,19999999,20039999, -69.785900000,  80.918400000, 3, 3,         1.569,  907, 1379, 1326, 13.1, 141,  1797, 0, 0, 0, 0, 0, 9,
RGI60-03.00018,G290169E80905N,19999999,20039999, -69.830700000,  80.905100000, 3, 3,         5.399,  886, 1440, 1189, 10.7,  84,  4072, 0, 0, 1, 0, 0, 9,
RGI60-03.00019,G290221E80894N,19999999,20039999, -69.778700000,  80.894100000, 3, 3,         0.375, 1008, 1257, 1115, 17.9,  75,   707, 0, 0, 0, 0, 0, 9,
RGI60-03.00020,G289819E81012N,19999999,20039999, -70.181000000,  81.012300000, 3, 3,         8.205,  642, 1365, 1224, 18.7, 326,  1984, 0, 0, 0, 0, 0, 9,
RGI60-03.00021,G289705E80985N,19999999,20039999, -70.294800000,  80.984700000, 3, 3,         6.839,  404, 1367, 1163, 13.5, 312,  4472, 0, 0, 0, 0, 0, 9,
RGI60-03.00022,G289808E80970N,19999999,20039999, -70.192400000,  80.970000000, 3, 3,         1.095, 1020, 1240, 1068, 11.9, 360,  1419, 0, 0, 0, 0, 0, 9,
RGI60-03.00023,G289640E80945N,19999999,20039999, -70.359900000,  80.945400000, 3, 3,         6.957,  636, 1276,  903, 10.0, 293,  3656, 0, 0, 0, 0, 0, 9,
RGI60-03.00024,G291303E81139N,19999999,20039999, -68.697400000,  81.139100000, 3, 3,         0.781,  790, 1295, 1042, 22.3,   8,  1415, 0, 0, 0, 0, 0, 9,
RGI60-03.00025,G289644E80921N,19999999,20039999, -70.355600000,  80.920700000, 3, 3,         2.215,  772, 1544, 1237, 19.6, 323,  2556, 0, 0, 0, 0, 0, 9,
RGI60-03.00026,G289614E80909N,19999999,20039999, -70.385700000,  80.908900000, 3, 3,         4.614,  704, 1544, 1269, 14.3, 295,  3603, 0, 0, 0, 0, 0, 9,
RGI60-03.00027,G289622E80879N,19999999,20039999, -70.377800000,  80.879200000, 3, 3,        22.627,  547, 1449, 1170,  9.8, 331,  8577, 0, 0, 0, 0, 0, 9,
RGI60-03.00028,G289398E80901N,19999999,20039999, -70.602300000,  80.900700000, 3, 3,         1.198,  763, 1390, 1170, 25.9,  13,  1465, 0, 0, 0, 0, 0, 9,
RGI60-03.00029,G289511E80833N,19999999,20039999, -70.489300000,  80.833100000, 3, 3,        54.007,  648, 1609, 1244,  7.9, 325, 14974, 0, 0, 1, 0, 0, 9,
RGI60-03.00030,G289254E80883N,19999999,20039999, -70.746100000,  80.882900000, 3, 3,         0.586,  820, 1324, 1228, 24.6,  33,  1104, 0, 0, 0, 0, 0, 9,
RGI60-03.00031,G289177E80841N,19999999,20039999, -70.823300000,  80.841300000, 3, 3,         6.379,  717, 1410, 1236, 15.2, 309,  3285, 0, 0, 0, 0, 0, 9,
RGI60-03.00032,G288787E80867N,19999999,20039999, -71.213000000,  80.866700000, 3, 3,        77.919,  236, 1435,  880,  5.8,  45, 21586, 0, 0, 0, 0, 0, 9,
RGI60-03.00033,G289320E80775N,19999999,20039999, -70.680300000,  80.774600000, 3, 3,       152.763,  582, 1763, 1300,  6.9, 318, 23227, 0, 0, 1, 0, 0, 9,
RGI60-03.00034,G288938E80758N,19999999,20039999, -71.062500000,  80.757600000, 3, 3,        11.860,  669, 1616, 1208, 10.7, 320,  7187, 0, 0, 0, 0, 0, 9,
RGI60-03.00035,G291406E81123N,19999999,20039999, -68.593900000,  81.123300000, 3, 3,        16.765,  628, 1508, 1172, 14.4,  14,  7742, 0, 0, 0, 0, 0, 9,
RGI60-03.00036,G289023E80713N,19999999,20039999, -70.977300000,  80.712700000, 3, 3,        85.949,  585, 1742, 1322,  8.5, 300, 18716, 0, 0, 1, 0, 0, 9,
RGI60-03.00037,G288578E80712N,19999999,20039999, -71.421700000,  80.711700000, 3, 3,         6.784,  617, 1570, 1189, 13.8, 327,  5186, 0, 0, 0, 0, 0, 9,
RGI60-03.00038,G288560E80678N,19999999,20039999, -71.440500000,  80.678100000, 3, 3,        19.033,  513, 1636, 1260, 13.0, 320,  7889, 0, 0, 0, 0, 0, 9,
RGI60-03.00039,G288404E80665N,19999999,20039999, -71.596400000,  80.664800000, 3, 3,         4.707,  600, 1502, 1206, 15.6, 330,  4476, 0, 0, 0, 0, 0, 9,
