RGIId,GLIMSId,BgnDate,EndDate,CenLon,CenLat,O1Region,O2Region,Area,Zmin,Zmax,Zmed,Slope,Aspect,Lmax,Status,Connect,Form,TermType,Surging,Linkages,Name
RGI60-04.00001,G295206E64002N,19990914,-9999999, -64.794500000,  64.001800000, 4, 7,         0.083,  310,  454,  402, 29.4, 338,   285, 0, 0, 0, 0, 9, 9,
RGI60-04.00002,G293275E62326N,19990914,-9999999, -66.725400000,  62.326100000, 4, 2,         1.486,  619,  812,  706,  9.8, 247,  1799, 0, 0, 1, 0, 9, 9,
RGI60-04.00003,G293518E62301N,19990914,-9999999, -66.482000000,  62.300600000, 4, 8,         4.507,  252,  807,  645, 10.8,  43,  5025, 0, 0, 1, 0, 9, 9,
RGI60-04.00004,G293313E62341N,19990914,-9999999, -66.686600000,  62.341100000, 4, 8,         5.310,  383,  813,  709, 16.8,  35,  2982, 0, 0, 1, 0, 9, 9,
RGI60-04.00005,G293664E62159N,19990930,-9999999, -66.336500000,  62.158900000, 4, 8,         2.414,  410,  599,  494,  8.8, 160,  1855, 0, 0, 0, 0, 9, 9,
RGI60-04.00006,G293367E62320N,19990914,-9999999, -66.632800000,  62.319800000, 4, 8,         2.368,  292,  761,  675, 18.1,  56,  2177, 0, 0, 1, 0, 9, 9,
RGI60-04.00007,G293564E62262N,19990914,19990930, -66.435700000,  62.262200000, 4, 8,        21.174,  124,  807,  644, 11.0,  57,  8562, 0, 0, 1, 0, 9, 9,
RGI60-04.00008,G293434E62299N,19990914,-9999999, -66.565600000,  62.298800000, 4, 8,         1.425,  346,  780,  701, 15.3, 338,  1658, 0, 0, 0, 0, 9, 9,
RGI60-04.00009,G293558E62285N,19990914,-9999999, -66.441600000,  62.285100000, 4, 8,         1.881,  390,  747,  624, 12.2,  65,  2293, 0, 0, 1, 0, 9, 9,
RGI60-04.00010,G293236E62331N,19990914,-9999999, -66.764500000,  62.330600000, 4, 2,         0.147,  630,  662,  650,  8.8, 248,   341, 0, 0, 0, 0, 9, 9,
RGI60-04.00011,G293230E62331N,19990914,-9999999, -66.770000000,  62.330600000, 4, 2,         0.321,  595,  670,  641,  8.8,  57,   920, 0, 0, 0, 0, 9, 9,
RGI60-04.00012,G293393E62319N,19990914,-9999999, -66.607400000,  62.318900000, 4, 8,         0.574,  351,  675,  586, 13.4,  56,  1471, 0, 0, 0, 0, 9, 9,
RGI60-04.00013,G293508E62312N,19990914,-9999999, -66.492300000,  62.311900000, 4, 8,         0.406,  448,  729,  619, 10.6, 355,  1557, 0, 0, 0, 0, 9, 9,
