RGIId,GLIMSId,BgnDate,EndDate,CenLon,CenLat,O1Region,O2Region,Area,Zmin,Zmax,Zmed,Slope,Aspect,Lmax,Status,Connect,Form,TermType,Surging,Linkages,Name
RGI60-06.00001,G336215E64817N,20020928,20020928, -23.785200000,  64.817400000, 6, 1,         4.903,  630, 1419,  922, 15.0, 336,  3412, 0, 0, 0, 0, 0, 9,
RGI60-06.00002,G336231E64795N,20020928,20020928, -23.768600000,  64.795100000, 6, 1,         1.897,  769, 1415, 1152, 17.7, 139,  1823, 0, 0, 1, 0, 0, 9,
RGI60-06.00003,G336196E64798N,20020928,20020928, -23.804300000,  64.797900000, 6, 1,         0.751,  761, 1417, 1012, 22.8, 262,  1244, 0, 0, 0, 0, 0, 9,
RGI60-06.00004,G336179E64804N,20020928,-9999999, -23.821000000,  64.803600000, 6, 1,         0.067,  786,  911,  853, 17.8, 262,   334, 0, 0, 0, 0, 0, 9,
RGI60-06.00005,G336201E64805N,20020928,20020928, -23.799300000,  64.804600000, 6, 1,         0.978,  900, 1416, 1125, 16.1, 310,  1960, 0, 0, 0, 0, 0, 9,
RGI60-06.00006,G336247E64800N,20020928,20020928, -23.753000000,  64.800300000, 6, 1,         0.912,  817, 1420, 1087, 17.3, 114,  2009, 0, 0, 0, 0, 0, 9,
RGI60-06.00007,G336248E64812N,20020928,20020928, -23.752200000,  64.811600000, 6, 1,         2.712,  708, 1409, 1010, 15.7,  67,  2423, 0, 0, 0, 0, 0, 9,
RGI60-06.00008,G341458E65405N,20009999,-9999999, -18.542000000,  65.404500000, 6, 1,         2.166,  922, 1210, 1060, 13.6,  46,  1995, 0, 0, 0, 0, 0, 9,
RGI60-06.00009,G341697E65639N,20009999,-9999999, -18.303100000,  65.638800000, 6, 1,         0.448, 1240, 1423, 1336, 19.2,  87,   902, 0, 0, 0, 0, 0, 9,
RGI60-06.00010,G341706E65650N,20009999,-9999999, -18.293900000,  65.649500000, 6, 1,         1.000, 1000, 1397, 1123, 15.2,  22,  1503, 0, 0, 0, 0, 0, 9,
RGI60-06.00011,G341690E65656N,20009999,-9999999, -18.309700000,  65.656300000, 6, 1,         0.258, 1106, 1274, 1225, 25.5,  44,   406, 0, 0, 0, 0, 0, 9,
RGI60-06.00012,G341668E65641N,20009999,-9999999, -18.331900000,  65.641000000, 6, 1,         0.052, 1171, 1307, 1243, 20.6, 253,   215, 0, 0, 0, 0, 0, 9,
RGI60-06.00013,G341678E65644N,20009999,-9999999, -18.322500000,  65.643600000, 6, 1,         0.828, 1063, 1424, 1235, 16.3, 328,  1293, 0, 0, 0, 0, 0, 9,
RGI60-06.00014,G341029E65668N,20009999,-9999999, -18.970900000,  65.668300000, 6, 1,         0.771,  948, 1182, 1120, 17.2, 342,  1316, 0, 0, 0, 0, 0, 9,
RGI60-06.00015,G340996E65669N,20009999,-9999999, -19.003700000,  65.669400000, 6, 1,         0.469,  978, 1176, 1137, 19.3, 109,  1199, 0, 0, 0, 0, 0, 9,
RGI60-06.00016,G341686E65664N,20009999,-9999999, -18.314200000,  65.664400000, 6, 1,         0.077, 1077, 1189, 1160, 23.6,  63,   355, 0, 0, 0, 0, 0, 9,
RGI60-06.00017,G341080E65673N,20009999,-9999999, -18.919600000,  65.672500000, 6, 1,         3.279, 1052, 1326, 1091, 12.0, 284,  2959, 0, 0, 0, 0, 0, 9,
RGI60-06.00018,G341317E65680N,20009999,-9999999, -18.683300000,  65.679600000, 6, 1,         0.096, 1157, 1331, 1261, 37.7,  29,   305, 0, 0, 0, 0, 0, 9,
RGI60-06.00019,G341287E65685N,20009999,-9999999, -18.712900000,  65.684500000, 6, 1,         0.119, 1166, 1278, 1206, 27.1,  18,   325, 0, 0, 0, 0, 0, 9,
RGI60-06.00020,G341264E65696N,20009999,-9999999, -18.736100000,  65.695800000, 6, 1,         0.229, 1065, 1171, 1116, 19.4, 333,   564, 0, 0, 0, 0, 0, 9,
RGI60-06.00021,G341250E65697N,20009999,-9999999, -18.750100000,  65.696500000, 6, 1,         0.165, 1022, 1141, 1072, 18.0, 345,   491, 0, 0, 0, 0, 0, 9,
RGI60-06.00022,G341475E65450N,20009999,-9999999, -18.525300000,  65.450200000, 6, 1,         0.230, 1080, 1207, 1134, 21.8,  42,   413, 0, 0, 0, 0, 0, 9,
RGI60-06.00023,G341561E65826N,20009999,-9999999, -18.438600000,  65.825900000, 6, 1,         0.086,  814, 1086,  948, 21.9, 360,   379, 0, 0, 0, 0, 0, 9,
