RGIId,GLIMSId,BgnDate,EndDate,CenLon,CenLat,O1Region,O2Region,Area,Zmin,Zmax,Zmed,Slope,Aspect,Lmax,Status,Connect,Form,TermType,Surging,Linkages,Name
RGI60-07.00001,G017035E76705N,20080901,-9999999,  17.034700000,  76.705200000, 7, 1,         0.597,  142,  459,  268, 16.7, 204,  1388, 0, 0, 0, 0, 0, 9,
RGI60-07.00002,G016189E76787N,20080901,-9999999,  16.189100000,  76.787200000, 7, 1,         0.581,  234,  582,  343, 18.3, 277,  1658, 0, 0, 0, 0, 0, 9,Bungebreen
RGI60-07.00003,G016392E76919N,20080901,-9999999,  16.391500000,  76.919400000, 7, 1,         0.388,  157,  540,  330, 19.8, 222,  1200, 0, 0, 0, 0, 0, 9,Samarinbreen East
RGI60-07.00004,G015993E76942N,20080901,-9999999,  15.993200000,  76.942300000, 7, 1,         1.044,  665,  933,  799, 13.8,  62,  1075, 0, 0, 0, 0, 0, 9,
RGI60-07.00005,G016497E76956N,20080901,-9999999,  16.496600000,  76.956400000, 7, 1,         0.500,  186,  396,  263, 17.7,  35,  1068, 0, 0, 0, 0, 0, 9,Mendelejevbreen
RGI60-07.00006,G016429E76938N,20080901,-9999999,  16.428900000,  76.937500000, 7, 1,        13.618,  111,  621,  311, 12.6, 336,  8187, 0, 0, 0, 1, 0, 9,Chomjakovbreen
RGI60-07.00007,G016426E76966N,20080901,-9999999,  16.426300000,  76.966100000, 7, 1,         0.559,  143,  411,  242, 16.3, 328,  1536, 0, 0, 0, 0, 0, 9,Mendelejevbreen
RGI60-07.00008,G016104E77038N,20080901,-9999999,  16.103500000,  77.037900000, 7, 1,         1.577,   85,  425,  210, 14.8, 273,  2103, 0, 0, 0, 0, 0, 9,Lorchbreen
RGI60-07.00009,G015271E77047N,20080901,-9999999,  15.271400000,  77.047200000, 7, 1,         0.651,  277,  541,  376, 19.9, 338,  1378, 0, 0, 0, 0, 0, 9,
RGI60-07.00010,G015780E77043N,20080901,-9999999,  15.780100000,  77.043000000, 7, 1,         1.456,  202,  634,  373, 16.0, 201,  2374, 0, 0, 0, 0, 0, 9,Sofiebreen
RGI60-07.00011,G016092E77050N,20080901,-9999999,  16.091600000,  77.049800000, 7, 1,         0.659,  115,  407,  228, 15.3, 266,  1146, 0, 0, 0, 0, 0, 9,
RGI60-07.00012,G015893E77068N,20080901,-9999999,  15.893000000,  77.068300000, 7, 1,         0.513,  111,  529,  246, 21.7, 271,  1246, 0, 0, 0, 0, 0, 9,Paierlbreen
RGI60-07.00013,G015760E77079N,20080901,-9999999,  15.759800000,  77.078900000, 7, 1,         0.083,  270,  516,  426, 51.0,  54,   334, 0, 0, 0, 0, 0, 9,Paierlbreen
RGI60-07.00014,G015877E77080N,20080901,-9999999,  15.876700000,  77.080000000, 7, 1,         0.194,  165,  580,  332, 28.4, 259,   757, 0, 0, 0, 0, 0, 9,Paierlbreen
RGI60-07.00015,G015746E77081N,20080901,-9999999,  15.745600000,  77.081300000, 7, 1,         0.312,  212,  720,  480, 31.4,  51,  1047, 0, 0, 0, 0, 0, 9,Paierlbreen
RGI60-07.00016,G015859E77084N,20080901,-9999999,  15.858500000,  77.084200000, 7, 1,         0.229,  112,  393,  189, 26.6, 231,   724, 0, 0, 0, 0, 0, 9,Paierlbreen
RGI60-07.00017,G015308E77119N,20080901,-9999999,  15.307800000,  77.119300000, 7, 1,         0.688,  249,  822,  450, 22.7, 293,  1669, 0, 0, 0, 0, 0, 9,
RGI60-07.00018,G015264E77153N,20080901,-9999999,  15.263500000,  77.153200000, 7, 1,         0.559,  322,  700,  465, 18.2, 279,  1831, 0, 0, 0, 0, 0, 9,Austre Torellbreen
RGI60-07.00019,G015267E77165N,20080901,-9999999,  15.266600000,  77.164600000, 7, 1,         0.329,  299,  566,  418, 19.4, 267,  1152, 0, 0, 0, 0, 0, 9,Austre Torellbreen
RGI60-07.00020,G017333E77171N,20080901,-9999999,  17.332500000,  77.171100000, 7, 1,         0.439,  274,  489,  385, 19.0, 176,   995, 0, 0, 0, 0, 0, 9,
RGI60-07.00021,G014675E77314N,20080901,-9999999,  14.674900000,  77.313700000, 7, 1,         0.552,  285,  574,  437, 19.4, 278,  1408, 0, 0, 0, 0, 0, 9,
RGI60-07.00022,G014647E77325N,20080901,-9999999,  14.647400000,  77.324600000, 7, 1,         0.469,  321,  636,  429, 18.5, 282,  1031, 0, 0, 0, 0, 0, 9,
RGI60-07.00023,G017366E77324N,20080901,-9999999,  17.366300000,  77.324100000, 7, 1,         0.951,  109,  444,  243, 16.5,  72,  1914, 0, 0, 0, 0, 0, 9,
RGI60-07.00024,G016100E77347N,20080901,-9999999,  16.099700000,  77.346900000, 7, 1,         1.025,  294,  628,  461, 19.4, 346,  1190, 0, 0, 0, 0, 0, 9,Zawadzkibreen
RGI60-07.00025,G023512E79401N,20010710,-9999999,  23.512100000,  79.401400000, 7, 1,      1095.853,   11,  666,  281,  4.4, 179, 50954, 0, 0, 1, 1, 3, 0,Braasvellbreen
RGI60-07.00026,G024447E79366N,20010710,-9999999,  24.447000000,  79.365700000, 7, 1,       153.538,   28,  386,  199,  3.4, 158, 18363, 0, 0, 1, 1, 0, 9,Austfonna
RGI60-07.00027,G024554E79593N,20010710,-9999999,  24.554400000,  79.593100000, 7, 1,      1226.367,    2,  767,  501,  9.0, 147, 56487, 0, 0, 1, 1, 2, 0,Austfonna basin 3
RGI60-07.00028,G025275E79607N,20010710,-9999999,  25.275200000,  79.607300000, 7, 1,       249.109,   48,  642,  350,  3.2, 140, 23275, 0, 0, 1, 1, 0, 9,Austfonna
RGI60-07.00029,G025601E79742N,20010710,-9999999,  25.601000000,  79.741800000, 7, 1,       662.905,   10,  738,  500, 10.8, 131, 35861, 0, 0, 1, 1, 0, 9,Austfonna
RGI60-07.00030,G026348E79807N,20010710,-9999999,  26.348200000,  79.807200000, 7, 1,       175.992,    1,  613,  355,  8.7, 123, 19358, 0, 0, 1, 1, 0, 9,Austfonna
RGI60-07.00031,G026607E79872N,20010710,-9999999,  26.607400000,  79.872200000, 7, 1,       218.616,   20,  582,  315,  9.0, 110, 25966, 0, 0, 1, 1, 0, 9,Austfonna
RGI60-07.00032,G020228E80242N,20080814,-9999999,  20.228400000,  80.241900000, 7, 1,        16.277,   68,  619,  387, 15.6,  21,  7065, 0, 0, 1, 0, 0, 9,Lindhagenbreen
RGI60-07.00033,G020064E80206N,20080814,-9999999,  20.063600000,  80.205500000, 7, 1,        38.758,   22,  618,  417, 15.1, 266, 11365, 0, 0, 1, 0, 0, 9,
RGI60-07.00034,G020171E80152N,20080814,-9999999,  20.170800000,  80.151900000, 7, 1,        82.176,  160,  604,  434, 18.6, 252, 12753, 0, 0, 1, 0, 0, 9,
RGI60-07.00035,G021342E80037N,20080814,-9999999,  21.341800000,  80.037100000, 7, 1,       224.739,   16,  626,  483,  7.4,  30, 23042, 0, 0, 1, 1, 3, 0,Rijpbreen
RGI60-07.00036,G020565E80186N,20080814,-9999999,  20.565200000,  80.185500000, 7, 1,        67.387,    8,  617,  462, 14.2,  61, 12195, 0, 0, 1, 1, 0, 9,Sabinebreen
RGI60-07.00037,G021872E79984N,20080814,-9999999,  21.872400000,  79.983800000, 7, 1,       112.063,   24,  595,  394,  8.9,  67, 14041, 0, 0, 1, 0, 0, 9,Croftbreen
RGI60-07.00038,G019402E79953N,20080814,-9999999,  19.402300000,  79.952500000, 7, 1,        61.667,   95,  584,  438, 11.7, 311,  8889, 0, 0, 1, 0, 0, 9,
RGI60-07.00039,G019005E79891N,20080814,-9999999,  19.004700000,  79.890700000, 7, 1,        54.782,   92,  536,  358, 11.3, 313,  6122, 0, 0, 1, 0, 0, 9,
RGI60-07.00040,G021854E79884N,20080814,-9999999,  21.854300000,  79.883600000, 7, 1,        56.294,   52,  560,  395,  5.8, 133,  9780, 0, 0, 1, 0, 0, 9,Amenfonna
RGI60-07.00041,G020987E80120N,20080814,-9999999,  20.986500000,  80.119900000, 7, 1,       158.996,    3,  600,  416, 13.0,  34, 23062, 0, 0, 1, 0, 0, 9,Maudbreen
RGI60-07.00042,G021497E79894N,20080814,-9999999,  21.496800000,  79.893600000, 7, 1,       109.841,    0,  627,  456,  8.2, 173, 16494, 0, 0, 1, 1, 3, 0,Bodleybreen
RGI60-07.00043,G021160E79852N,20080814,-9999999,  21.160100000,  79.851700000, 7, 1,        44.960,   34,  569,  338,  7.4, 181, 10382, 0, 0, 1, 0, 0, 9,Eltonbreen
RGI60-07.00044,G019183E80017N,20080723,-9999999,  19.182800000,  80.017000000, 7, 1,         1.397,  219,  289,  251,  7.7, 195,  1527, 0, 0, 0, 0, 0, 9,DeGeerfonna
RGI60-07.00045,G018696E79893N,20080814,-9999999,  18.695800000,  79.892800000, 7, 1,         8.600,  150,  274,  224,  8.2, 312,  2088, 0, 0, 0, 0, 0, 9,Backabreen
RGI60-07.00046,G019589E80409N,20080723,-9999999,  19.588600000,  80.408600000, 7, 1,         5.053,   58,  609,  373, 14.3, 177,  3379, 0, 0, 0, 0, 0, 9,
RGI60-07.00047,G020231E80334N,20080814,-9999999,  20.231200000,  80.334100000, 7, 1,         0.705,  138,  260,  186, 12.5,  23,   965, 0, 0, 0, 0, 0, 9,
RGI60-07.00048,G019734E80467N,20070714,-9999999,  19.733800000,  80.467400000, 7, 1,         0.517,  154,  390,  243, 19.5,  76,  1063, 0, 0, 0, 0, 0, 9,Vågsbreen
RGI60-07.00049,G020117E80381N,20070714,-9999999,  20.116800000,  80.381200000, 7, 1,         1.560,   12,  177,  129, 11.2, 287,  1423, 0, 0, 0, 0, 0, 9,Mikkel Revbreen
RGI60-07.00050,G019935E80409N,20070714,-9999999,  19.934600000,  80.409400000, 7, 1,         4.121,   57,  440,  159, 12.1, 127,  3441, 0, 0, 0, 0, 0, 9,
RGI60-07.00051,G020094E80284N,20080814,-9999999,  20.094300000,  80.283800000, 7, 1,         3.615,  180,  422,  326, 10.9,  27,  2408, 0, 0, 0, 0, 0, 9,
RGI60-07.00052,G020224E80277N,20080814,-9999999,  20.223500000,  80.277400000, 7, 1,         1.727,  245,  494,  417, 11.4,  39,  1738, 0, 0, 0, 0, 0, 9,Lindhagenbreen
RGI60-07.00053,G020090E80255N,20080814,-9999999,  20.090200000,  80.255200000, 7, 1,        13.573,   94,  472,  363, 13.0, 312,  4668, 0, 0, 1, 0, 0, 9,
RGI60-07.00054,G020453E80238N,20080814,-9999999,  20.452500000,  80.237500000, 7, 1,        15.223,  140,  605,  403, 11.7,  16,  4017, 0, 0, 1, 0, 0, 9,
RGI60-07.00055,G019603E80427N,20080814,-9999999,  19.603100000,  80.427400000, 7, 1,         0.465,  190,  424,  246, 23.0,  53,   931, 0, 0, 0, 0, 0, 9,
RGI60-07.00056,G019796E80426N,20080814,-9999999,  19.795500000,  80.426300000, 7, 1,         1.635,  278,  472,  425, 11.8, 286,  1047, 0, 0, 0, 0, 0, 9,
RGI60-07.00057,G019659E80420N,20080814,-9999999,  19.659400000,  80.419800000, 7, 1,         0.555,   88,  473,  212, 23.8,  88,  1319, 0, 0, 0, 0, 0, 9,
RGI60-07.00058,G019781E80440N,20070714,-9999999,  19.780800000,  80.439700000, 7, 1,         0.391,  365,  427,  400,  6.7, 281,   662, 0, 0, 0, 0, 0, 9,
RGI60-07.00059,G019811E80445N,20070714,-9999999,  19.810700000,  80.444600000, 7, 1,         0.286,  114,  366,  177, 26.4,  53,   519, 0, 0, 0, 0, 0, 9,
RGI60-07.00060,G026792E79933N,20080814,-9999999,  26.792400000,  79.932900000, 7, 1,        79.912,   51,  503,  308,  6.1,  98, 14359, 0, 0, 1, 1, 0, 9,Austfonna
RGI60-07.00061,G026793E79997N,20080814,-9999999,  26.792800000,  79.997100000, 7, 1,        84.651,   50,  502,  298,  6.6,  76, 14954, 0, 0, 1, 1, 0, 9,Austfonna Worsleybreen
RGI60-07.00062,G026018E80013N,20080814,-9999999,  26.018200000,  80.013200000, 7, 1,       692.661,    5,  693,  456,  9.3,  36, 40119, 0, 0, 1, 1, 0, 9,Austfonna Leighbreen
RGI60-07.00063,G021473E78065N,20040807,-9999999,  21.472500000,  78.064800000, 7, 1,        17.288,  151,  560,  403,  8.2, 295,  6517, 0, 0, 1, 0, 3, 0,Kvitisen E
RGI60-07.00064,G020962E79419N,20080814,-9999999,  20.961700000,  79.418700000, 7, 1,        69.091,   20,  487,  330,  8.7, 223, 10201, 0, 0, 1, 1, 0, 9,Vegafonna Mariebreen
RGI60-07.00065,G021345E79426N,20080814,-9999999,  21.345100000,  79.426400000, 7, 1,        80.210,    9,  483,  311, 15.2, 129,  8442, 0, 0, 1, 0, 0, 9,Vegafonna Rosenthalbreen
RGI60-07.00066,G020428E79490N,20080814,-9999999,  20.428100000,  79.490400000, 7, 1,        37.767,   63,  471,  298,  9.8, 136,  7592, 0, 0, 1, 0, 0, 9,Glitnefonna
RGI60-07.00067,G020395E79549N,20080814,-9999999,  20.395000000,  79.548600000, 7, 1,        22.325,   43,  483,  351, 12.0,  46,  6706, 0, 0, 1, 0, 2, 0,Holtenbreen: Glitnefonna NE
RGI60-07.00068,G020189E79570N,20080814,-9999999,  20.189000000,  79.570100000, 7, 1,        29.824,   43,  468,  355, 11.6,  48,  8311, 0, 0, 1, 1, 3, 0,Clasebreen: Glitnefonna NE
RGI60-07.00069,G020069E79605N,20080814,-9999999,  20.069000000,  79.605100000, 7, 1,        12.352,    2,  403,  312,  8.2, 351,  5077, 0, 0, 1, 0, 0, 9,Glitnefonna
RGI60-07.00070,G020136E79517N,20080814,-9999999,  20.136200000,  79.517000000, 7, 1,        58.493,   76,  470,  344,  8.8, 239,  9212, 0, 0, 1, 0, 0, 9,Glintefonna
RGI60-07.00071,G027984E80082N,20080814,-9999999,  27.983800000,  80.082200000, 7, 1,         9.396,    0,  214,  142,  5.7, 269,  2835, 0, 0, 1, 0, 0, 9,Storøyjøkulen
RGI60-07.00072,G028089E80062N,20080814,-9999999,  28.088900000,  80.062400000, 7, 1,         8.985,    0,  210,  132,  5.3, 160,  3819, 0, 0, 1, 0, 0, 9,Storøyjøkulen
RGI60-07.00073,G028126E80087N,20080814,-9999999,  28.126000000,  80.086800000, 7, 1,         9.366,    0,  213,  140,  5.1,  63,  3297, 0, 0, 1, 0, 0, 9,Storøyjøkulen
