RGIId,GLIMSId,BgnDate,EndDate,CenLon,CenLat,O1Region,O2Region,Area,Zmin,Zmax,Zmed,Slope,Aspect,Lmax,Status,Connect,Form,TermType,Surging,Linkages,Name
RGI60-08.00001,G033830E67930N,-9999999,-9999999,  33.830000000,  67.930000000, 8, 1,         0.030,  235,  250,  242,  5.8,  55,   180, 2, 0, 0, 0, 9, 9,SU4C01001001 1
RGI60-08.00002,G033500E67870N,-9999999,-9999999,  33.500000000,  67.870000000, 8, 1,         0.030,  228,  246,  239,  5.7, 352,   177, 2, 0, 0, 0, 9, 9,SU4C01001002 2
RGI60-08.00003,G033750E67820N,-9999999,-9999999,  33.750000000,  67.820000000, 8, 1,         0.020,  701,  749,  726, 18.8, 341,   135, 2, 0, 0, 0, 9, 9,SU4C01001003 3
RGI60-08.00004,G033770E67830N,-9999999,-9999999,  33.770000000,  67.830000000, 8, 1,         0.020,  671,  725,  696, 20.1, 329,   125, 2, 0, 0, 0, 9, 9,SU4C01001004 4
RGI60-08.00005,G016345E67139N,19990907,-9999999,  16.345000000,  67.139000000, 8, 1,        21.469,  926, 1807, 1268,  8.5, 152,  9308, 0, 0, 0, 0, 9, 1,Salajekna
RGI60-08.00006,G018055E68083N,20010820,-9999999,  18.055000000,  68.083000000, 8, 1,         4.886, 1160, 1468, 1399,  7.5,  96,  1920, 0, 0, 0, 0, 9, 1,Riukojietna
RGI60-08.00007,G018153E68104N,20020731,-9999999,  18.153000000,  68.104000000, 8, 1,         0.137, 1138, 1215, 1171, 10.2, 138,   512, 0, 0, 0, 0, 9, 0,
RGI60-08.00008,G018166E68145N,20020731,-9999999,  18.166000000,  68.145000000, 8, 1,         0.531, 1153, 1403, 1261, 17.0,  68,   890, 0, 0, 0, 0, 9, 0,Gallanvarri
RGI60-08.00009,G018206E68118N,20020731,-9999999,  18.206000000,  68.118000000, 8, 1,         0.734, 1219, 1480, 1394, 16.4, 123,   879, 0, 0, 0, 0, 9, 0,Gunganiehkki
RGI60-08.00010,G018085E68122N,20020731,-9999999,  18.085000000,  68.122000000, 8, 1,         0.303, 1254, 1423, 1329, 14.2,  13,   814, 0, 0, 0, 0, 9, 0,
RGI60-08.00011,G018099E68105N,20020731,-9999999,  18.099000000,  68.105000000, 8, 1,         0.374, 1434, 1532, 1484,  6.5, 193,   832, 0, 0, 0, 0, 9, 0,Gallanjiehkki
RGI60-08.00012,G018446E68567N,20020731,-9999999,  18.446000000,  68.567000000, 8, 1,         0.135, 1018, 1179, 1120, 19.7, 121,   423, 0, 0, 0, 0, 9, 0,Cunujokeln
RGI60-08.00013,G018332E68545N,20020731,-9999999,  18.332000000,  68.545000000, 8, 1,         1.048, 1037, 1263, 1117, 11.3,  76,  1095, 0, 0, 0, 0, 9, 0,Beaivvejietnja
RGI60-08.00014,G016813E67775N,20020731,-9999999,  16.813000000,  67.775000000, 8, 1,         0.563, 1162, 1452, 1336, 22.4,  35,   662, 0, 0, 0, 0, 9, 0,
RGI60-08.00015,G016471E67135N,20020809,-9999999,  16.471000000,  67.135000000, 8, 1,        11.306, 1097, 1701, 1352,  7.7, 145,  5416, 0, 0, 0, 0, 9, 0,Stuorrajiegna
RGI60-08.00016,G016444E67154N,20020809,-9999999,  16.444000000,  67.154000000, 8, 1,         0.906, 1204, 1833, 1436, 26.2,  40,  1399, 0, 0, 0, 0, 9, 0,
RGI60-08.00017,G016697E67187N,20020809,-9999999,  16.697000000,  67.187000000, 8, 1,         0.808, 1279, 1644, 1402, 21.2, 122,  1012, 0, 0, 0, 0, 9, 0,Jiegnaffojiegna
RGI60-08.00018,G016893E67227N,20020809,-9999999,  16.893000000,  67.227000000, 8, 1,         0.109, 1257, 1538, 1376, 31.1,  53,   496, 0, 0, 0, 0, 9, 0,
RGI60-08.00019,G017317E67365N,20020809,-9999999,  17.317000000,  67.365000000, 8, 1,         1.069, 1252, 1636, 1433, 13.3, 301,  1893, 0, 0, 0, 0, 9, 0,Lanjekjiegna
RGI60-08.00020,G016914E67217N,20020809,-9999999,  16.914000000,  67.217000000, 8, 1,         0.133, 1329, 1487, 1455, 20.9,  41,   337, 0, 0, 0, 0, 9, 0,
RGI60-08.00021,G017443E67410N,20020809,-9999999,  17.443000000,  67.410000000, 8, 1,         5.591, 1092, 1679, 1371, 11.3,  32,  4196, 0, 0, 0, 0, 9, 0,Oarjep Ruohtesjiegna
RGI60-08.00022,G017392E67362N,20020809,-9999999,  17.392000000,  67.362000000, 8, 1,         0.440, 1155, 1655, 1431, 25.4,  27,  1152, 0, 0, 0, 0, 9, 0,
RGI60-08.00023,G017353E67262N,20020809,-9999999,  17.353000000,  67.262000000, 8, 1,         0.286, 1320, 1628, 1497, 24.4,  36,   845, 0, 0, 0, 0, 9, 0,
RGI60-08.00024,G017444E67302N,20020809,-9999999,  17.444000000,  67.302000000, 8, 1,         2.547, 1191, 1744, 1379, 13.9, 152,  2282, 0, 0, 0, 0, 9, 0,Ridajiegna
RGI60-08.00025,G017330E67369N,20020809,-9999999,  17.330000000,  67.369000000, 8, 1,         0.286, 1288, 1598, 1533, 23.6,  42,   736, 0, 0, 0, 0, 9, 0,
RGI60-08.00026,G017341E67292N,20020809,-9999999,  17.341000000,  67.292000000, 8, 1,         0.880, 1312, 1719, 1538, 17.3,  75,  1391, 0, 0, 0, 0, 9, 0,
RGI60-08.00027,G017312E67298N,20020809,-9999999,  17.312000000,  67.298000000, 8, 1,         0.684, 1285, 1642, 1477, 19.2,  57,  1166, 0, 0, 0, 0, 9, 0,
RGI60-08.00028,G016999E67352N,20020809,-9999999,  16.999000000,  67.352000000, 8, 1,         0.377, 1220, 1426, 1316, 13.3, 122,   928, 0, 0, 0, 0, 9, 0,
RGI60-08.00029,G017458E67357N,20020809,-9999999,  17.458000000,  67.357000000, 8, 1,         0.425, 1282, 1641, 1511, 21.0,  42,   973, 0, 0, 0, 0, 9, 0,
RGI60-08.00030,G017315E67508N,20020809,-9999999,  17.315000000,  67.508000000, 8, 1,         0.645, 1170, 1659, 1419, 24.6,  50,  1309, 0, 0, 0, 0, 9, 0,
RGI60-08.00031,G017421E67424N,20020809,-9999999,  17.421000000,  67.424000000, 8, 1,         1.617, 1226, 1524, 1380, 10.7, 353,  1421, 0, 0, 0, 0, 9, 0,Alep Ruohtesjiegna
RGI60-08.00032,G017490E67393N,20020809,-9999999,  17.490000000,  67.393000000, 8, 1,         1.811, 1162, 1655, 1402, 14.8, 132,  2090, 0, 0, 0, 0, 9, 0,Sjielmajiegna
RGI60-08.00033,G017413E67313N,20020809,-9999999,  17.413000000,  67.313000000, 8, 1,         0.693, 1289, 1727, 1454, 15.9, 359,  1504, 0, 0, 0, 0, 9, 0,
RGI60-08.00034,G017435E67392N,20020809,-9999999,  17.435000000,  67.392000000, 8, 1,         0.742, 1132, 1458, 1291, 17.1, 140,  1096, 0, 0, 0, 0, 9, 0,
RGI60-08.00035,G017275E67297N,20020809,-9999999,  17.275000000,  67.297000000, 8, 1,         0.437, 1333, 1562, 1460, 15.6,  14,   677, 0, 0, 0, 0, 9, 0,
RGI60-08.00036,G017430E67315N,20020809,-9999999,  17.430000000,  67.315000000, 8, 1,         0.288, 1511, 1697, 1637, 21.1, 359,   615, 0, 0, 0, 0, 9, 0,
RGI60-08.00037,G017421E67250N,20020809,-9999999,  17.421000000,  67.250000000, 8, 1,         1.633, 1388, 1894, 1567, 12.9, 135,  1672, 0, 0, 0, 0, 9, 0,Oarjep Luotthojiegna
