RGIId,GLIMSId,BgnDate,EndDate,CenLon,CenLat,O1Region,O2Region,Area,Zmin,Zmax,Zmed,Slope,Aspect,Lmax,Status,Connect,Form,TermType,Surging,Linkages,Name
RGI60-09.00001,G056871E73969N,20000812,20030808,  56.870600000,  73.968600000, 9, 2,         3.818,  424, 1019,  803, 12.5, 117,  4291, 0, 0, 0, 0, 9, 9,(Severny Island)
RGI60-09.00002,G058397E75478N,20000812,20080626,  58.397400000,  75.477900000, 9, 2,         3.605,  234,  798,  482,  9.8,  57,  5579, 0, 0, 0, 0, 9, 9,(Severny Island)
RGI60-09.00003,G058315E75487N,20000812,20080626,  58.314600000,  75.487000000, 9, 2,         1.714,  231,  857,  636, 15.5,  17,  3679, 0, 0, 0, 0, 9, 9,(Severny Island)
RGI60-09.00004,G055026E73111N,20000812,20030808,  55.025900000,  73.110700000, 9, 2,         0.581,  756,  933,  870, 12.9, 168,  1049, 0, 0, 0, 0, 9, 9,(Yuzhny Island)
RGI60-09.00005,G058210E75500N,20000812,20080626,  58.210200000,  75.500100000, 9, 2,         2.535,  351,  756,  580, 15.7,  53,  2476, 0, 0, 0, 0, 9, 9,(Severny Island)
RGI60-09.00006,G058739E75522N,20000812,20080626,  58.739200000,  75.522100000, 9, 2,         1.841,  365,  698,  442, 10.5, 309,  3207, 0, 0, 0, 0, 9, 9,(Severny Island)
RGI60-09.00007,G058558E75663N,20000812,20080626,  58.558200000,  75.662900000, 9, 2,         1.165,  284,  637,  476, 13.9, 326,  1731, 0, 0, 0, 0, 9, 9,(Severny Island)
RGI60-09.00008,G058580E75671N,20000812,20080626,  58.579900000,  75.670800000, 9, 2,         2.032,  243,  625,  448, 10.9, 270,  3711, 0, 0, 0, 0, 9, 9,(Severny Island)
RGI60-09.00009,G058614E75689N,20000812,20080626,  58.614300000,  75.689400000, 9, 2,         1.932,  157,  614,  384, 13.2, 354,  3563, 0, 0, 0, 0, 9, 9,(Severny Island)
RGI60-09.00010,G059564E75790N,20000812,20080626,  59.564300000,  75.789700000, 9, 2,         0.434,  322,  459,  359, 10.5,  94,  1048, 0, 0, 0, 0, 9, 9,(Severny Island)
RGI60-09.00011,G059531E75786N,20000812,20080626,  59.531300000,  75.785800000, 9, 2,         0.824,  357,  474,  415, 10.8, 159,  1522, 0, 0, 0, 0, 9, 9,(Severny Island)
RGI60-09.00012,G061069E75971N,20000812,20080626,  61.068600000,  75.971200000, 9, 2,         1.133,  304,  802,  731, 20.9, 356,  1507, 0, 0, 0, 0, 9, 9,(Severny Island)
RGI60-09.00013,G061038E75962N,20000812,20080626,  61.038200000,  75.961900000, 9, 2,         0.433,  483,  761,  618, 21.4, 163,  1274, 0, 0, 0, 0, 9, 9,(Severny Island)
