RGIId,GLIMSId,BgnDate,EndDate,CenLon,CenLat,O1Region,O2Region,Area,Zmin,Zmax,Zmed,Slope,Aspect,Lmax,Status,Connect,Form,TermType,Surging,Linkages,Name
RGI60-10.00001,G149170E76720N,19560599,19560999, 149.170000000,  76.720000000,10, 2,         3.920,   99,  208,  163,  3.8, 221,  1500, 2, 0, 1, 0, 9, 0,SU5E17701001 Maliy Ice Cap
RGI60-10.00002,G148920E76680N,19560599,19560999, 148.920000000,  76.680000000,10, 2,        48.144,    0,  385,  288,  4.9, 185,  4900, 2, 0, 1, 0, 9, 0,SU5E17701002 Toll Ice Cap
RGI60-10.00003,G149020E76650N,19560599,19560999, 149.020000000,  76.650000000,10, 2,         0.704,    0,  180, -999,  1.7, 183,  1400, 2, 0, 0, 1, 9, 0,SU5E17701003 E Zeeberg Glacier
RGI60-10.00004,G148930E76670N,19560599,19560999, 148.930000000,  76.670000000,10, 2,         1.809,  243,  371,  324,  4.5, 153,  1900, 2, 0, 0, 1, 9, 0,SU5E17701004 W Zeeberg Glacier
RGI60-10.00005,G148850E76700N,19560599,19560999, 148.850000000,  76.700000000,10, 2,         3.819,   63,  314,  212,  6.6, 319,  3400, 2, 0, 0, 0, 9, 9,SU5E17701005 5
RGI60-10.00006,G148650E76650N,19560599,19560999, 148.650000000,  76.650000000,10, 2,        12.966,    0,  413,  242,  9.4, 148,  3700, 2, 0, 1, 0, 9, 0,SU5E17701006 De Long Ice Cap
RGI60-10.00007,G148700E76630N,19560599,19560999, 148.700000000,  76.630000000,10, 2,         0.603,   60,  260, -999,  0.0,  -9,  1200, 2, 0, 0, 0, 9, 9,SU5E17701007 7
RGI60-10.00008,G148570E76650N,19560599,19560999, 148.570000000,  76.650000000,10, 2,         0.402,  309,  392,  376,  5.4, 284,  1100, 2, 0, 0, 0, 9, 9,SU5E17701008 8
RGI60-10.00009,G156570E77080N,19560599,19560999, 156.570000000,  77.080000000,10, 2,         6.232,  100,  310, -999, -9.0,  -9,  1400, 2, 0, 1, 0, 9, 9,SU5E17701009 1
RGI60-10.00010,G156600E77080N,19560599,19560999, 156.600000000,  77.080000000,10, 2,         0.101,    0,  220, -999, -9.0,  -9,   300, 2, 0, 0, 0, 9, 9,SU5E17701010 2
RGI60-10.00011,G156600E77100N,19560599,19560999, 156.600000000,  77.100000000,10, 2,         0.101,   40,  100, -999, -9.0,  -9,   700, 2, 0, 0, 0, 9, 0,SU5E17701011 Northeast Glacier
RGI60-10.00012,G156580E77120N,19560599,19560999, 156.580000000,  77.120000000,10, 2,         0.503, -999,   50, -999, -9.0,  -9,  2500, 2, 0, 0, 0, 9, 0,SU5E17701012 Dunbar Glacier
RGI60-10.00013,G156520E77100N,19560599,19560999, 156.520000000,  77.100000000,10, 2,         0.101,   50,  100, -999, -9.0,  -9,   700, 2, 0, 0, 0, 9, 0,SU5E17701013 Northwest Glacier
RGI60-10.00014,G156480E77080N,19560599,19560999, 156.480000000,  77.080000000,10, 2,         1.206, -999,  100, -999, -9.0,  -9,  2000, 2, 0, 0, 0, 9, 0,SU5E17701014 West Glacier
RGI60-10.00015,G158030E76770N,19560599,19560999, 158.030000000,  76.770000000,10, 2,         0.402,  220,  350, -999, -9.0,  -9,   400, 2, 0, 1, 0, 9, 9,SU5E17701015 1
RGI60-10.00016,G178680E70980N,-9999999,-9999999, 178.680000000,  70.980000000,10, 2,         0.050,  247,  341,  296, 20.7, 293,   400, 2, 0, 0, 0, 9, 9,SU5E19001001 No 1
RGI60-10.00017,G178670E70980N,-9999999,-9999999, 178.670000000,  70.980000000,10, 2,         0.020,  143,  207,  172, 24.3, 275,   100, 2, 0, 0, 0, 9, 9,SU5E19001002 No 2
RGI60-10.00018,G178650E71000N,-9999999,-9999999, 178.650000000,  71.000000000,10, 2,         0.030,  172,  271,  221, 30.4, 277,   300, 2, 0, 0, 0, 9, 9,SU5E19001003 No 3
RGI60-10.00019,G178650E71000N,-9999999,-9999999, 178.650000000,  71.000000000,10, 2,         0.020,  188,  269,  221, 29.7, 282,   200, 2, 0, 0, 0, 9, 9,SU5E19001004 No 4
RGI60-10.00020,G178700E71030N,-9999999,-9999999, 178.700000000,  71.030000000,10, 2,         0.020,  249,  266,  259,  7.1, 130,   100, 2, 0, 0, 0, 9, 9,SU5E19001005 No 5
RGI60-10.00021,G178720E71050N,-9999999,-9999999, 178.720000000,  71.050000000,10, 2,         0.040,  258,  329,  305, 19.5,   7,   100, 2, 0, 0, 0, 9, 9,SU5E19001006 No 6
RGI60-10.00022,G178720E71050N,-9999999,-9999999, 178.720000000,  71.050000000,10, 2,         0.070,  242,  340,  299, 19.4,   6,   100, 2, 0, 0, 0, 9, 9,SU5E19001007 No 7
RGI60-10.00023,G178720E71070N,-9999999,-9999999, 178.720000000,  71.070000000,10, 2,         0.010,  312,  322,  319,  7.1, 121,   100, 2, 0, 0, 0, 9, 9,SU5E19001008 No 8
RGI60-10.00024,G178720E71070N,-9999999,-9999999, 178.720000000,  71.070000000,10, 2,         0.040,  303,  334,  319,  7.8, 155,   200, 2, 0, 0, 0, 9, 9,SU5E19001009 No 9
RGI60-10.00025,G178700E71070N,-9999999,-9999999, 178.700000000,  71.070000000,10, 2,         0.030,  294,  320,  310,  8.1, 193,   200, 2, 0, 0, 0, 9, 9,SU5E19001010 No 10
RGI60-10.00026,G178680E71070N,-9999999,-9999999, 178.680000000,  71.070000000,10, 2,         0.010,  183,  211,  192, 15.1, 253,   100, 2, 0, 0, 0, 9, 9,SU5E19001011 No 11
RGI60-10.00027,G178680E71070N,-9999999,-9999999, 178.680000000,  71.070000000,10, 2,         0.010,  183,  211,  192, 15.1, 253,   100, 2, 0, 0, 0, 9, 9,SU5E19001012 No 12
RGI60-10.00028,G178680E71070N,-9999999,-9999999, 178.680000000,  71.070000000,10, 2,         0.010,  183,  211,  192, 15.1, 253,   100, 2, 0, 0, 0, 9, 9,SU5E19001013 No 13
RGI60-10.00029,G178700E71080N,-9999999,-9999999, 178.700000000,  71.080000000,10, 2,         0.020,  397,  405,  400,  4.0,   3,   200, 2, 0, 0, 0, 9, 9,SU5E19001014 No 14
RGI60-10.00030,G178720E71080N,-9999999,-9999999, 178.720000000,  71.080000000,10, 2,         0.020,  389,  411,  400,  8.3, 111,   200, 2, 0, 0, 0, 9, 9,SU5E19001015 No 15
RGI60-10.00031,G178730E71080N,-9999999,-9999999, 178.730000000,  71.080000000,10, 2,         0.010,  367,  385,  374,  8.8, 107,   100, 2, 0, 0, 0, 9, 9,SU5E19001016 No 16
RGI60-10.00032,G178750E71100N,-9999999,-9999999, 178.750000000,  71.100000000,10, 2,         0.020,  309,  382,  351, 27.8, 283,   200, 2, 0, 0, 0, 9, 9,SU5E19001017 No 17
RGI60-10.00033,G178770E71100N,-9999999,-9999999, 178.770000000,  71.100000000,10, 2,         0.010,  583,  601,  596, 12.1, 180,   100, 2, 0, 0, 0, 9, 9,SU5E19001018 No 18
RGI60-10.00034,G178770E71100N,-9999999,-9999999, 178.770000000,  71.100000000,10, 2,         0.010,  583,  601,  596, 12.1, 180,   100, 2, 0, 0, 0, 9, 9,SU5E19001019 No 19
RGI60-10.00035,G178780E71100N,-9999999,-9999999, 178.780000000,  71.100000000,10, 2,         0.010,  529,  560,  547, 18.4, 155,   100, 2, 0, 0, 0, 9, 9,SU5E19001020 No 20
RGI60-10.00036,G178800E71120N,-9999999,-9999999, 178.800000000,  71.120000000,10, 2,         0.040,  467,  549,  498, 21.5, 333,   100, 2, 0, 0, 0, 9, 9,SU5E19001021 No 21
RGI60-10.00037,G178880E71130N,-9999999,-9999999, 178.880000000,  71.130000000,10, 2,         0.040,  478,  622,  560, 33.3,  33,   100, 2, 0, 0, 0, 9, 9,SU5E19001022 No 22
RGI60-10.00038,G178900E71130N,-9999999,-9999999, 178.900000000,  71.130000000,10, 2,         0.010,  311,  335,  318, 12.5,  96,   100, 2, 0, 0, 0, 9, 9,SU5E19001023 No 23
RGI60-10.00039,G178850E71100N,-9999999,-9999999, 178.850000000,  71.100000000,10, 2,         0.010,  420,  436,  427, 12.4, 298,   100, 2, 0, 0, 0, 9, 9,SU5E19001024 No 24
RGI60-10.00040,G178870E71100N,-9999999,-9999999, 178.870000000,  71.100000000,10, 2,         0.040,  380,  486,  435, 25.8,  19,   100, 2, 0, 0, 0, 9, 9,SU5E19001025 No 25
RGI60-10.00041,G178870E71100N,-9999999,-9999999, 178.870000000,  71.100000000,10, 2,         0.030,  392,  479,  436, 25.7,  21,   200, 2, 0, 0, 0, 9, 9,SU5E19001026 No 26
RGI60-10.00042,G178800E71100N,-9999999,-9999999, 178.800000000,  71.100000000,10, 2,         0.030,  328,  383,  356, 15.9, 212,   100, 2, 0, 0, 0, 9, 9,SU5E19001027 No 27
RGI60-10.00043,G178650E71020N,-9999999,-9999999, 178.650000000,  71.020000000,10, 2,         0.030,  320,  376,  355, 18.6, 183,   200, 2, 0, 0, 0, 9, 9,SU5E19001028 No 28
RGI60-10.00044,G178670E71020N,-9999999,-9999999, 178.670000000,  71.020000000,10, 2,         0.040,  324,  390,  344, 15.9, 266,   100, 2, 0, 0, 0, 9, 9,SU5E19001029 No 29
RGI60-10.00045,G178680E71020N,-9999999,-9999999, 178.680000000,  71.020000000,10, 2,         0.020,  411,  440,  430, 14.8, 221,   100, 2, 0, 0, 0, 9, 9,SU5E19001030 No 30
RGI60-10.00046,G178700E71020N,-9999999,-9999999, 178.700000000,  71.020000000,10, 2,         0.020,  265,  315,  290, 17.2,  63,   100, 2, 0, 0, 0, 9, 9,SU5E19001031 No 31
RGI60-10.00047,G178680E71020N,-9999999,-9999999, 178.680000000,  71.020000000,10, 2,         0.020,  411,  440,  430, 14.8, 221,   200, 2, 0, 0, 0, 9, 9,SU5E19001032 No 32
RGI60-10.00048,G178700E71020N,-9999999,-9999999, 178.700000000,  71.020000000,10, 2,         0.030,  265,  315,  290, 16.0,  64,   200, 2, 0, 0, 0, 9, 9,SU5E19001033 No 33
RGI60-10.00049,G178720E71020N,-9999999,-9999999, 178.720000000,  71.020000000,10, 2,         0.040,  272,  294,  281,  7.6, 325,   100, 2, 0, 0, 0, 9, 9,SU5E19001034 No 34
RGI60-10.00050,G178800E71020N,-9999999,-9999999, 178.800000000,  71.020000000,10, 2,         0.030,  328,  404,  366, 22.3, 109,   100, 2, 0, 0, 0, 9, 9,SU5E19001035 No 35
RGI60-10.00051,G178800E71020N,-9999999,-9999999, 178.800000000,  71.020000000,10, 2,         0.030,  328,  404,  366, 22.3, 109,   100, 2, 0, 0, 0, 9, 9,SU5E19001036 No 36
RGI60-10.00052,G178820E71020N,-9999999,-9999999, 178.820000000,  71.020000000,10, 2,         0.030,  252,  279,  269, 10.0,  50,   300, 2, 0, 0, 0, 9, 9,SU5E19001037 No 37
RGI60-10.00053,G178830E71020N,-9999999,-9999999, 178.830000000,  71.020000000,10, 2,         0.020,  242,  273,  264,  9.7,  72,   100, 2, 0, 0, 0, 9, 9,SU5E19001038 No 38
RGI60-10.00054,G178880E71030N,-9999999,-9999999, 178.880000000,  71.030000000,10, 2,         0.090,  186,  264,  220, 15.4, 220,   100, 2, 0, 0, 0, 9, 9,SU5E19001039 No 39
RGI60-10.00055,G178850E71020N,-9999999,-9999999, 178.850000000,  71.020000000,10, 2,         0.020,  262,  320,  289, 19.0, 342,   100, 2, 0, 0, 0, 9, 9,SU5E19001040 No 40
RGI60-10.00056,G178920E71020N,-9999999,-9999999, 178.920000000,  71.020000000,10, 2,         0.060,  337,  397,  379, 14.1,  27,   200, 2, 0, 0, 0, 9, 9,SU5E19001041 No 41
RGI60-10.00057,G178930E71020N,-9999999,-9999999, 178.930000000,  71.020000000,10, 2,         0.020,  381,  408,  397, 12.2,   8,   100, 2, 0, 0, 0, 9, 9,SU5E19001042 No 42
RGI60-10.00058,G178950E71020N,-9999999,-9999999, 178.950000000,  71.020000000,10, 2,         0.030,  288,  322,  306, 13.1, 212,   200, 2, 0, 0, 0, 9, 9,SU5E19001043 No 43
RGI60-10.00059,G178980E71020N,-9999999,-9999999, 178.980000000,  71.020000000,10, 2,         0.020,  222,  283,  252, 21.9, 322,   100, 2, 0, 0, 0, 9, 9,SU5E19001044 No 44
RGI60-10.00060,G179030E71030N,-9999999,-9999999, 179.030000000,  71.030000000,10, 2,         0.030,  168,  200,  182,  9.4,  95,   100, 2, 0, 0, 0, 9, 9,SU5E19001045 No 45
RGI60-10.00061,G179000E71020N,-9999999,-9999999, 179.000000000,  71.020000000,10, 2,         0.020,  239,  275,  263, 12.6,  45,   100, 2, 0, 0, 0, 9, 9,SU5E19001046 No 46
RGI60-10.00062,G179020E71020N,-9999999,-9999999, 179.020000000,  71.020000000,10, 2,         0.010,  195,  212,  207,  9.2, 104,   100, 2, 0, 0, 0, 9, 9,SU5E19001047 No 47
RGI60-10.00063,G179050E71000N,-9999999,-9999999, 179.050000000,  71.000000000,10, 2,         0.050,    0,  459,  274, 46.6,  64,   106, 2, 0, 0, 0, 9, 9,SU5E19001048 No 48
RGI60-10.00064,G179030E71000N,-9999999,-9999999, 179.030000000,  71.000000000,10, 2,         0.030,  253,  311,  281, 19.6, 123,   100, 2, 0, 0, 0, 9, 9,SU5E19001049 No 49
RGI60-10.00065,G179180E71220N,-9999999,-9999999, 179.180000000,  71.220000000,10, 2,         0.030,  382,  402,  389,  6.4, 314,   100, 2, 0, 0, 0, 9, 9,SU5E19001050 No 50
RGI60-10.00066,G179220E71220N,-9999999,-9999999, 179.220000000,  71.220000000,10, 2,         0.030,  371,  405,  393, 11.4,  78,   100, 2, 0, 0, 0, 9, 9,SU5E19001051 No 51
RGI60-10.00067,G179220E71220N,-9999999,-9999999, 179.220000000,  71.220000000,10, 2,         0.040,  370,  405,  395, 10.3,  73,   100, 2, 0, 0, 0, 9, 9,SU5E19001052 No 52
RGI60-10.00068,G179230E71220N,-9999999,-9999999, 179.230000000,  71.220000000,10, 2,         0.040,  337,  373,  359, 12.1,  85,   100, 2, 0, 0, 0, 9, 9,SU5E19001053 No 53
RGI60-10.00069,G179370E71220N,-9999999,-9999999, 179.370000000,  71.220000000,10, 2,         0.010,  540,  554,  550,  8.2, 138,   100, 2, 0, 0, 0, 9, 9,SU5E19001054 No 54
RGI60-10.00070,G179370E71220N,-9999999,-9999999, 179.370000000,  71.220000000,10, 2,         0.040,  524,  554,  544, 11.3, 217,   100, 2, 0, 0, 0, 9, 9,SU5E19001055 No 55
RGI60-10.00071,G179420E71220N,-9999999,-9999999, 179.420000000,  71.220000000,10, 2,         0.020,  441,  469,  462, 12.6, 219,   100, 2, 0, 0, 0, 9, 9,SU5E19001056 No 56
RGI60-10.00072,G179450E71230N,-9999999,-9999999, 179.450000000,  71.230000000,10, 2,         0.020,  309,  370,  340, 22.8, 271,   100, 2, 0, 0, 0, 9, 9,SU5E19001057 No 57
RGI60-10.00073,G179470E71230N,-9999999,-9999999, 179.470000000,  71.230000000,10, 2,         0.020,  364,  425,  407, 21.9, 334,   100, 2, 0, 0, 0, 9, 9,SU5E19001058 No 58
RGI60-10.00074,G179400E71250N,-9999999,-9999999, 179.400000000,  71.250000000,10, 2,         0.030,  307,  373,  342, 20.1, 229,   100, 2, 0, 0, 0, 9, 9,SU5E19001059 No 59
