RGIId,GLIMSId,BgnDate,EndDate,CenLon,CenLat,O1Region,O2Region,Area,Zmin,Zmax,Zmed,Slope,Aspect,Lmax,Status,Connect,Form,TermType,Surging,Linkages,Name
RGI60-11.00001,G013599E47495N,20030799,20030999,  13.598700000,  47.494900000,11, 1,         0.122, 2191, 2338, 2277, 19.9, 334,   461, 0, 0, 0, 0, 9, 9,
RGI60-11.00002,G013614E47485N,20030799,20030999,  13.613500000,  47.484500000,11, 1,         2.292, 2203, 2855, 2526, 18.6,  49,  1853, 0, 0, 0, 0, 9, 9,
RGI60-11.00003,G013596E47484N,20030799,20030999,  13.596000000,  47.483500000,11, 1,         0.851, 2280, 2691, 2458, 17.8, 314,  1140, 0, 0, 0, 0, 9, 9,
RGI60-11.00004,G013583E47481N,20030799,20030999,  13.582900000,  47.480700000,11, 1,         0.053, 2319, 2562, 2422, 32.4, 306,   382, 0, 0, 0, 0, 9, 9,
RGI60-11.00005,G013603E47477N,20030799,20030999,  13.602600000,  47.477400000,11, 1,         0.057, 2656, 2778, 2686, 25.4, 291,   202, 0, 0, 0, 0, 9, 9,
RGI60-11.00006,G013630E47471N,20030799,20030999,  13.630400000,  47.470800000,11, 1,         0.908, 2450, 2681, 2601, 14.0,  33,   816, 0, 0, 0, 0, 9, 9,
RGI60-11.00007,G013614E47474N,20030799,20030999,  13.614300000,  47.473500000,11, 1,         0.014, 2650, 2690, 2674, 22.6, 186,   103, 0, 0, 0, 0, 9, 9,
RGI60-11.00008,G013037E47429N,20030799,20030999,  13.036800000,  47.428800000,11, 1,         0.169, 2580, 2744, 2657, 23.0,  28,   415, 0, 0, 0, 0, 9, 9,
RGI60-11.00009,G013048E47425N,20030799,20030999,  13.048400000,  47.424700000,11, 1,         0.327, 2664, 2809, 2767, 12.2,   6,   813, 0, 0, 0, 0, 9, 9,
RGI60-11.00010,G013078E47425N,20030799,20030999,  13.078300000,  47.424800000,11, 1,         0.036, 2645, 2689, 2671, 10.3,  41,   247, 0, 0, 0, 0, 9, 9,
RGI60-11.00011,G013042E47425N,20030799,20030999,  13.041900000,  47.425400000,11, 1,         0.037, 2694, 2821, 2766, 15.1,  15,   501, 0, 0, 0, 0, 9, 9,
RGI60-11.00012,G013058E47424N,20030799,20030999,  13.058100000,  47.424200000,11, 1,         0.197, 2710, 2828, 2778, 12.1,  21,   549, 0, 0, 0, 0, 9, 1,Hochkoenig
RGI60-11.00013,G012753E47198N,20030799,20030999,  12.752800000,  47.198000000,11, 1,         0.081, 2499, 2763, 2553, 28.3,  62,   446, 0, 0, 0, 0, 9, 9,
RGI60-11.00014,G012682E47195N,20030799,20030999,  12.682300000,  47.195300000,11, 1,         0.912, 2494, 2929, 2771, 17.7,  27,  1230, 0, 0, 0, 0, 9, 9,
RGI60-11.00015,G012674E47196N,20030799,20030999,  12.673700000,  47.196400000,11, 1,         0.076, 2770, 2889, 2860, 17.9,  43,   403, 0, 0, 0, 0, 9, 9,
RGI60-11.00016,G012758E47194N,20030799,20030999,  12.758100000,  47.193500000,11, 1,         0.032, 2416, 2574, 2476, 27.8,  40,   292, 0, 0, 0, 0, 9, 9,
RGI60-11.00017,G012757E47190N,20030799,20030999,  12.757200000,  47.189700000,11, 1,         0.102, 2605, 2966, 2720, 34.4,  25,   529, 0, 0, 0, 0, 9, 9,
RGI60-11.00018,G012692E47192N,20030799,20030999,  12.691600000,  47.191600000,11, 1,         0.103, 2763, 2968, 2861, 24.7,  62,   494, 0, 0, 0, 0, 9, 9,
RGI60-11.00019,G012680E47185N,20030799,20030999,  12.680200000,  47.184800000,11, 1,         0.295, 2605, 2831, 2717, 18.0, 271,   506, 0, 0, 0, 0, 9, 9,
RGI60-11.00020,G012758E47183N,20030799,20030999,  12.757800000,  47.183000000,11, 1,         0.017, 3110, 3225, 3171, 35.4, 294,   168, 0, 0, 0, 0, 9, 9,
RGI60-11.00021,G012768E47177N,20030799,20030999,  12.767500000,  47.176600000,11, 1,         0.645, 2323, 3027, 2616, 32.2,  99,  1306, 0, 0, 0, 0, 9, 9,
RGI60-11.00022,G012386E47189N,20030799,20030999,  12.386300000,  47.189300000,11, 1,         0.260, 2618, 2792, 2696, 17.6,  24,   805, 0, 0, 0, 0, 9, 9,
RGI60-11.00023,G012684E47178N,20030799,20030999,  12.683600000,  47.178400000,11, 1,         0.055, 2817, 2876, 2862, 17.7,  80,   182, 0, 0, 0, 0, 9, 9,
RGI60-11.00024,G012398E47183N,20030799,20030999,  12.398200000,  47.182700000,11, 1,         0.074, 2805, 2959, 2867, 25.6, 312,   309, 0, 0, 0, 0, 9, 9,
RGI60-11.00025,G012751E47165N,20030799,20030999,  12.750800000,  47.164800000,11, 1,         0.571, 2302, 3199, 2899, 27.1, 356,  1873, 0, 0, 0, 0, 9, 9,
RGI60-11.00026,G012677E47172N,20030799,20030999,  12.676600000,  47.172400000,11, 1,         0.044, 2605, 2766, 2701, 24.4, 334,   340, 0, 0, 0, 0, 9, 9,
RGI60-11.00027,G012766E47164N,20030799,20030999,  12.766000000,  47.164400000,11, 1,         0.157, 2724, 3039, 2812, 27.2, 100,   603, 0, 0, 0, 0, 9, 9,
RGI60-11.00028,G012679E47163N,20030799,20030999,  12.678500000,  47.163100000,11, 1,         0.381, 2669, 3137, 2952, 20.7,  10,  1195, 0, 0, 0, 0, 9, 9,
RGI60-11.00029,G012745E47164N,20030799,20030999,  12.744800000,  47.164100000,11, 1,         0.072, 2714, 3064, 2943, 34.0, 353,   429, 0, 0, 0, 0, 9, 9,
