RGIId,GLIMSId,BgnDate,EndDate,CenLon,CenLat,O1Region,O2Region,Area,Zmin,Zmax,Zmed,Slope,Aspect,Lmax,Status,Connect,Form,TermType,Surging,Linkages,Name
RGI60-15.00001,G102044E29941N,19990920,-9999999, 102.044041674,  29.940999868,15, 3,         0.438, 4996, 5377, 5231, 17.6, 251,   850, 0, 0, 0, 0, 9, 9,
RGI60-15.00002,G102042E29987N,19990920,-9999999, 102.042345625,  29.987019467,15, 3,         0.644, 4947, 5258, 5152, 16.6, 244,  1021, 0, 0, 0, 0, 9, 9,
RGI60-15.00003,G102041E29997N,19990920,-9999999, 102.041129978,  29.997311063,15, 3,         0.225, 5019, 5229, 5107, 13.6, 274,   812, 0, 0, 0, 0, 9, 9,
RGI60-15.00004,G102050E29962N,19990920,-9999999, 102.050282604,  29.962296779,15, 3,         0.985, 4622, 5244, 4983, 17.4,  52,  2318, 0, 0, 0, 0, 9, 9,
RGI60-15.00005,G102044E30025N,19990920,-9999999, 102.043727594,  30.025100942,15, 3,         0.465, 4733, 5386, 5013, 31.7,  20,   913, 0, 0, 0, 0, 9, 9,
RGI60-15.00006,G102037E30019N,19990920,-9999999, 102.036920074,  30.018731814,15, 3,         0.167, 5104, 5421, 5251, 40.0, 291,   505, 0, 0, 0, 0, 9, 9,
RGI60-15.00007,G102051E30015N,19990920,-9999999, 102.050820140,  30.014502807,15, 3,         0.708, 4451, 5246, 4870, 29.6,  52,  1381, 0, 0, 0, 0, 9, 9,
RGI60-15.00008,G102056E29998N,19990920,-9999999, 102.056323523,  29.997550948,15, 3,         0.373, 4586, 5325, 4908, 34.1, 120,  1117, 0, 0, 0, 0, 9, 9,
RGI60-15.00009,G102045E30005N,19990920,-9999999, 102.045440674,  30.004917145,15, 3,         1.101, 5141, 5610, 5455, 29.0,   7,   705, 0, 0, 0, 0, 9, 9,
RGI60-15.00010,G102047E29978N,19990920,-9999999, 102.046575244,  29.977607780,15, 3,         0.170, 4981, 5188, 5056, 14.3, 263,   784, 0, 0, 0, 0, 9, 9,
RGI60-15.00011,G102031E29948N,19990920,-9999999, 102.031271368,  29.948420832,15, 3,         0.155, 4923, 5227, 5103, 24.3, 193,   640, 0, 0, 0, 0, 9, 9,
RGI60-15.00012,G102057E29929N,19990920,-9999999, 102.057463275,  29.928919494,15, 3,         0.391, 4970, 5289, 5177, 21.3, 160,   783, 0, 0, 0, 0, 9, 9,
RGI60-15.00013,G102040E29947N,19990920,-9999999, 102.040228639,  29.946926593,15, 3,         0.074, 4872, 4987, 4919, 23.7, 249,   305, 0, 0, 0, 0, 9, 9,
RGI60-15.00014,G102041E29953N,19990920,-9999999, 102.040527344,  29.952957153,15, 3,         0.146, 4953, 5298, 5157, 33.9, 193,   572, 0, 0, 0, 0, 9, 9,
RGI60-15.00015,G099808E29985N,20001006,-9999999,  99.807801024,  29.984665894,15, 3,         0.076, 5177, 5374, 5271, 25.8,  24,   510, 0, 0, 0, 0, 9, 9,
RGI60-15.00016,G099791E29976N,20001006,-9999999,  99.790791762,  29.975860472,15, 3,         0.785, 5000, 5582, 5323, 20.7,  12,  1606, 0, 0, 0, 0, 9, 9,
RGI60-15.00017,G099647E29876N,20001006,-9999999,  99.647057537,  29.875673668,15, 3,         1.093, 5152, 5435, 5288, 13.8, 200,  1185, 0, 0, 0, 0, 9, 9,
RGI60-15.00018,G099639E29864N,20001006,-9999999,  99.639064967,  29.864115482,15, 3,         0.500, 5022, 5420, 5219, 26.2,  59,   830, 0, 0, 0, 0, 9, 9,
RGI60-15.00019,G099634E29935N,20001006,-9999999,  99.634455759,  29.934847484,15, 3,         0.793, 5050, 5604, 5393, 23.6,  95,  1512, 0, 0, 0, 0, 9, 9,
RGI60-15.00020,G099633E29909N,20001006,-9999999,  99.633153209,  29.908965733,15, 3,         1.737, 4810, 5650, 5243, 20.3, 333,  2857, 0, 0, 0, 0, 9, 9,
RGI60-15.00021,G099652E29909N,20001006,-9999999,  99.652073588,  29.909049776,15, 3,         1.002, 5103, 5598, 5355, 20.2, 193,  1358, 0, 0, 0, 0, 9, 9,
RGI60-15.00022,G099687E29941N,20001006,-9999999,  99.686612054,  29.940938270,15, 3,         0.099, 5216, 5396, 5336, 25.5,  94,   457, 0, 0, 0, 0, 9, 9,
RGI60-15.00023,G099596E29796N,20001006,-9999999,  99.596499892,  29.796079190,15, 3,         0.705, 5103, 5737, 5423, 27.7, 191,  1319, 0, 0, 0, 0, 9, 9,
RGI60-15.00024,G099607E29797N,20001006,-9999999,  99.607435091,  29.796824896,15, 3,         2.447, 4939, 6114, 5535, 28.0, 192,  2529, 0, 0, 0, 0, 9, 9,
RGI60-15.00025,G099631E29801N,20001006,-9999999,  99.631428599,  29.800726483,15, 3,         0.168, 5142, 5521, 5345, 26.4,  85,   731, 0, 0, 0, 0, 9, 9,
RGI60-15.00026,G099622E29797N,20001006,-9999999,  99.621911839,  29.797379495,15, 3,         2.134, 4852, 6012, 5427, 27.5, 154,  2318, 0, 0, 0, 0, 9, 9,
RGI60-15.00027,G099555E29816N,20001006,-9999999,  99.554860453,  29.816232914,15, 3,         0.275, 5221, 5391, 5321, 22.6, 202,   455, 0, 0, 0, 0, 9, 9,
RGI60-15.00028,G099556E29829N,20001006,-9999999,  99.555903232,  29.828576197,15, 3,         0.864, 5126, 5534, 5308, 21.4, 115,  1051, 0, 0, 0, 0, 9, 9,
RGI60-15.00029,G099566E29837N,20001006,-9999999,  99.565970765,  29.837142856,15, 3,         0.274, 5107, 5337, 5230, 21.6, 194,   626, 0, 0, 0, 0, 9, 9,
RGI60-15.00030,G099574E29841N,20001006,-9999999,  99.574485987,  29.841384281,15, 3,         0.405, 5067, 5587, 5333, 31.1, 165,   914, 0, 0, 0, 0, 9, 9,
RGI60-15.00031,G099582E29844N,20001006,-9999999,  99.582224191,  29.843913523,15, 3,         0.451, 4969, 5509, 5210, 27.5,  83,  1001, 0, 0, 0, 0, 9, 9,
RGI60-15.00032,G099569E29870N,20001006,-9999999,  99.569384089,  29.869532836,15, 3,         0.292, 5040, 5342, 5137, 21.7,  36,   803, 0, 0, 0, 0, 9, 9,
RGI60-15.00033,G099511E29876N,20001006,-9999999,  99.511147185,  29.876242106,15, 3,         0.811, 5045, 5575, 5342, 20.5, 116,  1643, 0, 0, 0, 0, 9, 9,
RGI60-15.00034,G099589E29957N,20001006,-9999999,  99.588694968,  29.957441329,15, 3,         0.952, 4969, 5556, 5264, 18.0, 192,  2214, 0, 0, 0, 0, 9, 9,
RGI60-15.00035,G099596E29955N,20001006,-9999999,  99.596275083,  29.954733834,15, 3,         0.285, 5156, 5440, 5294, 18.7, 135,   715, 0, 0, 0, 0, 9, 9,
