RGIId,GLIMSId,BgnDate,EndDate,CenLon,CenLat,O1Region,O2Region,Area,Zmin,Zmax,Zmed,Slope,Aspect,Lmax,Status,Connect,Form,TermType,Surging,Linkages,Name
RGI60-18.00001,G175549E39275S,19789999,-9999999, 175.549000000, -39.275400000,18, 1,         0.025, 2334, 2418, 2383, 18.8, 248,   214, 0, 0, 0, 0, 9, 9,
RGI60-18.00002,G175574E39260S,19789999,-9999999, 175.574000000, -39.260400000,18, 1,         0.074, 2254, 2558, 2384, 24.4, 321,   672, 0, 0, 0, 0, 9, 9,
RGI60-18.00003,G175567E39301S,19789999,-9999999, 175.567000000, -39.300700000,18, 1,         0.016, 2345, 2434, 2389, 30.0, 164,   168, 0, 0, 0, 0, 9, 9,
RGI60-18.00004,G175569E39262S,19789999,-9999999, 175.569000000, -39.261500000,18, 1,         0.022, 2307, 2424, 2367, 26.0, 341,   226, 0, 0, 0, 0, 9, 9,
RGI60-18.00005,G175582E39277S,19789999,-9999999, 175.582000000, -39.276900000,18, 1,         0.016, 2299, 2400, 2336, 28.2,  89,   182, 0, 0, 0, 0, 9, 9,
RGI60-18.00006,G175570E39278S,19789999,-9999999, 175.570000000, -39.277500000,18, 1,         1.182, 2079, 2688, 2542, 18.3, 134,  1879, 0, 0, 0, 0, 9, 9,
RGI60-18.00007,G175553E39268S,19789999,-9999999, 175.553000000, -39.267800000,18, 1,         0.019, 2383, 2502, 2436, 27.1, 300,   224, 0, 0, 0, 0, 9, 9,
RGI60-18.00008,G175575E39294S,19789999,-9999999, 175.575000000, -39.294200000,18, 1,         0.021, 2202, 2265, 2229, 24.5, 111,   135, 0, 0, 0, 0, 9, 9,
RGI60-18.00009,G175570E39291S,19789999,-9999999, 175.570000000, -39.291200000,18, 1,         0.663, 2258, 2742, 2492, 24.3, 127,  1115, 0, 0, 0, 0, 9, 9,
RGI60-18.00010,G175554E39280S,19789999,-9999999, 175.554000000, -39.280400000,18, 1,         0.645, 2175, 2700, 2467, 22.4, 254,  1452, 0, 0, 0, 0, 9, 9,
RGI60-18.00011,G175567E39271S,19789999,-9999999, 175.567000000, -39.270800000,18, 1,         0.357, 2558, 2619, 2596,  6.4, 296,   720, 0, 0, 0, 0, 9, 9,
RGI60-18.00012,G175563E39266S,19789999,-9999999, 175.563000000, -39.266000000,18, 1,         0.039, 2308, 2481, 2415, 21.5, 342,   554, 0, 0, 0, 0, 9, 9,
RGI60-18.00013,G175579E39270S,19789999,-9999999, 175.579000000, -39.270000000,18, 1,         1.147, 2166, 2683, 2527, 19.7, 128,  1689, 0, 0, 0, 0, 9, 9,
RGI60-18.00014,G175562E39296S,19789999,-9999999, 175.562000000, -39.295600000,18, 1,         0.507, 2115, 2744, 2440, 26.7, 207,  1259, 0, 0, 0, 0, 9, 9,
RGI60-18.00015,G175554E39293S,19789999,-9999999, 175.554000000, -39.292500000,18, 1,         0.010, 2308, 2376, 2338, 26.9, 228,   125, 0, 0, 0, 0, 9, 9,
RGI60-18.00016,G175559E39290S,19789999,-9999999, 175.559000000, -39.290400000,18, 1,         0.086, 2376, 2736, 2656, 26.1, 223,   728, 0, 0, 0, 0, 9, 9,
RGI60-18.00017,G175557E39288S,19789999,-9999999, 175.557000000, -39.287900000,18, 1,         0.045, 2468, 2711, 2627, 27.4, 247,   236, 0, 0, 0, 0, 9, 9,
RGI60-18.00018,G175583E39265S,19789999,-9999999, 175.583000000, -39.265400000,18, 1,         0.018, 2456, 2558, 2502, 31.0,  67,   182, 0, 0, 0, 0, 9, 9,
RGI60-18.00019,G175585E39261S,19789999,-9999999, 175.585000000, -39.260600000,18, 1,         0.152, 2072, 2516, 2304, 29.6,  49,   807, 0, 0, 0, 0, 9, 9,
RGI60-18.00020,G175557E39271S,19789999,-9999999, 175.557000000, -39.271100000,18, 1,         0.457, 2387, 2698, 2534, 20.3,   5,  1196, 0, 0, 0, 0, 9, 9,
RGI60-18.00021,G175564E39286S,19789999,-9999999, 175.564000000, -39.285500000,18, 1,         0.356, 2486, 2694, 2558, 22.8,  68,   818, 0, 0, 0, 0, 9, 9,
RGI60-18.00022,G172588E42220S,19789999,-9999999, 172.588000000, -42.220300000,18, 1,         0.067, 1871, 2042, 1957, 43.6, 109,   190, 0, 0, 0, 0, 9, 9,
RGI60-18.00023,G172741E41950S,19789999,-9999999, 172.741000000, -41.949900000,18, 1,         0.032, 1766, 2079, 1928, 45.4, 175,   280, 0, 0, 0, 0, 9, 9,
RGI60-18.00024,G167674E45030S,19789999,-9999999, 167.674000000, -45.029700000,18, 1,         0.032, 1507, 1579, 1545, 24.0, 172,   127, 0, 0, 0, 0, 9, 9,
RGI60-18.00025,G168069E44736S,19789999,-9999999, 168.069000000, -44.735900000,18, 1,         0.143,  917, 1147,  950, 24.8,  77,   454, 0, 0, 0, 0, 9, 9,
RGI60-18.00026,G168066E44731S,19789999,-9999999, 168.066000000, -44.731200000,18, 1,         0.067, 1234, 1591, 1440, 53.0, 135,   269, 0, 0, 0, 0, 9, 9,
RGI60-18.00027,G168071E44728S,19789999,-9999999, 168.071000000, -44.727800000,18, 1,         0.048, 1470, 1806, 1637, 58.5, 160,   206, 0, 0, 0, 0, 9, 9,
RGI60-18.00028,G167742E44716S,19789999,-9999999, 167.742000000, -44.715900000,18, 1,         0.071, 1432, 1534, 1509, 29.5, 152,   160, 0, 0, 0, 0, 9, 9,
RGI60-18.00029,G167748E44715S,19789999,-9999999, 167.748000000, -44.715300000,18, 1,         0.035, 1283, 1475, 1410, 42.4, 134,   202, 0, 0, 0, 0, 9, 9,
RGI60-18.00030,G167707E44716S,19789999,-9999999, 167.707000000, -44.715800000,18, 1,         0.268, 1286, 1618, 1424, 36.9, 160,   480, 0, 0, 0, 0, 9, 9,
RGI60-18.00031,G167777E44716S,19789999,-9999999, 167.777000000, -44.715700000,18, 1,         0.031,  962, 1142, 1069, 43.8, 109,   152, 0, 0, 0, 0, 9, 9,
RGI60-18.00032,G167743E44712S,19789999,-9999999, 167.743000000, -44.712300000,18, 1,         0.024, 1205, 1384, 1269, 37.2, 340,   215, 0, 0, 0, 0, 9, 9,
RGI60-18.00033,G168059E44728S,19789999,-9999999, 168.059000000, -44.728100000,18, 1,         0.025, 1812, 1972, 1897, 46.4, 259,   141, 0, 0, 0, 0, 9, 9,
RGI60-18.00034,G168058E44726S,19789999,-9999999, 168.058000000, -44.725700000,18, 1,         0.072, 1723, 1915, 1798, 37.7, 297,   237, 0, 0, 0, 0, 9, 9,
RGI60-18.00035,G168059E44722S,19789999,-9999999, 168.059000000, -44.721900000,18, 1,         0.078, 1482, 1691, 1571, 33.5, 330,   280, 0, 0, 0, 0, 9, 9,
RGI60-18.00036,G167732E44712S,19789999,-9999999, 167.732000000, -44.712000000,18, 1,         0.051, 1157, 1261, 1200, 26.8,  71,   226, 0, 0, 0, 0, 9, 9,
RGI60-18.00037,G167728E44715S,19789999,-9999999, 167.728000000, -44.715100000,18, 1,         0.456, 1311, 1757, 1595, 34.7,  61,   720, 0, 0, 0, 0, 9, 9,
RGI60-18.00038,G167725E44717S,19789999,-9999999, 167.725000000, -44.717400000,18, 1,         0.103, 1355, 1669, 1510, 46.4, 242,   276, 0, 0, 0, 0, 9, 9,
RGI60-18.00039,G167719E44715S,19789999,-9999999, 167.719000000, -44.714700000,18, 1,         0.062, 1279, 1749, 1555, 53.7, 192,   451, 0, 0, 0, 0, 9, 9,
RGI60-18.00040,G167730E44723S,19789999,-9999999, 167.730000000, -44.722800000,18, 1,         0.181, 1326, 1728, 1542, 33.1, 194,   564, 0, 0, 0, 0, 9, 9,
RGI60-18.00041,G167725E44722S,19789999,-9999999, 167.725000000, -44.721600000,18, 1,         0.121, 1293, 1663, 1445, 36.2, 270,   429, 0, 0, 0, 0, 9, 9,
RGI60-18.00042,G168073E44724S,19789999,-9999999, 168.073000000, -44.724300000,18, 1,         0.040, 1858, 2058, 2025, 34.8, 345,   206, 0, 0, 0, 0, 9, 9,
RGI60-18.00043,G168073E44722S,19789999,-9999999, 168.073000000, -44.722300000,18, 1,         0.020, 1749, 1845, 1781, 38.6,   5,   103, 0, 0, 0, 0, 9, 9,
RGI60-18.00044,G168065E44723S,19789999,-9999999, 168.065000000, -44.722600000,18, 1,         0.031, 1690, 1792, 1746, 24.7,   9,   226, 0, 0, 0, 0, 9, 9,
RGI60-18.00045,G168075E44721S,19789999,-9999999, 168.075000000, -44.720600000,18, 1,         0.024, 1621, 1705, 1652, 33.4, 356,   127, 0, 0, 0, 0, 9, 9,
RGI60-18.00046,G168073E44720S,19789999,-9999999, 168.073000000, -44.720300000,18, 1,         0.022, 1578, 1731, 1652, 37.1,  17,   202, 0, 0, 0, 0, 9, 9,
RGI60-18.00047,G168069E44722S,19789999,-9999999, 168.069000000, -44.721500000,18, 1,         0.094, 1511, 1846, 1714, 35.1, 323,   407, 0, 0, 0, 0, 9, 9,
RGI60-18.00048,G167727E44699S,19789999,-9999999, 167.727000000, -44.698800000,18, 1,         0.051, 1352, 1562, 1473, 37.1, 121,   266, 0, 0, 0, 0, 9, 9,
RGI60-18.00049,G167767E44700S,19789999,-9999999, 167.767000000, -44.699900000,18, 1,         0.067, 1224, 1536, 1389, 33.4, 201,   539, 0, 0, 0, 0, 9, 9,
RGI60-18.00050,G167761E44698S,19789999,-9999999, 167.761000000, -44.697800000,18, 1,         0.124, 1377, 1738, 1551, 41.6, 207,   325, 0, 0, 0, 0, 9, 9,
RGI60-18.00051,G167774E44701S,19789999,-9999999, 167.774000000, -44.700900000,18, 1,         0.034, 1376, 1528, 1492, 34.7,  72,   214, 0, 0, 0, 0, 9, 9,
RGI60-18.00052,G167770E44703S,19789999,-9999999, 167.770000000, -44.703400000,18, 1,         0.203, 1111, 1454, 1279, 37.3, 236,   482, 0, 0, 0, 0, 9, 9,
RGI60-18.00053,G168051E44669S,19789999,-9999999, 168.051000000, -44.669200000,18, 1,         0.352, 1794, 1984, 1868, 23.9, 104,   450, 0, 0, 0, 0, 9, 9,
RGI60-18.00054,G168036E44702S,19789999,-9999999, 168.036000000, -44.701900000,18, 1,         0.044,  987, 1140, 1045, 32.7, 135,   276, 0, 0, 0, 0, 9, 9,
RGI60-18.00055,G168053E44697S,19789999,-9999999, 168.053000000, -44.696700000,18, 1,         0.063, 1149, 1372, 1307, 29.7, 163,   225, 0, 0, 0, 0, 9, 9,
RGI60-18.00056,G167794E44688S,19789999,-9999999, 167.794000000, -44.688400000,18, 1,         0.062, 1393, 1540, 1492, 29.5,  99,   214, 0, 0, 0, 0, 9, 9,
RGI60-18.00057,G167791E44688S,19789999,-9999999, 167.791000000, -44.688000000,18, 1,         0.079, 1353, 1578, 1497, 34.0, 210,   379, 0, 0, 0, 0, 9, 9,
RGI60-18.00058,G168047E44771S,19789999,-9999999, 168.047000000, -44.770600000,18, 1,         0.066, 1550, 1834, 1684, 45.6,  96,   309, 0, 0, 0, 0, 9, 9,
RGI60-18.00059,G168022E44724S,19789999,-9999999, 168.022000000, -44.723500000,18, 1,         0.120, 1533, 1719, 1632, 25.2,  93,   496, 0, 0, 0, 0, 9, 9,
RGI60-18.00060,G168018E44717S,19789999,-9999999, 168.018000000, -44.716700000,18, 1,         0.093, 1534, 1772, 1649, 30.6,  84,   250, 0, 0, 0, 0, 9, 9,
RGI60-18.00061,G168033E44694S,19789999,-9999999, 168.033000000, -44.693500000,18, 1,         0.029, 1670, 1867, 1778, 48.5, 114,   168, 0, 0, 0, 0, 9, 9,
RGI60-18.00062,G168037E44761S,19789999,-9999999, 168.037000000, -44.760900000,18, 1,         0.511, 1597, 2183, 1906, 30.6,  17,   849, 0, 0, 0, 0, 9, 9,
RGI60-18.00063,G168040E44753S,19789999,-9999999, 168.040000000, -44.753200000,18, 1,         0.206, 1328, 1558, 1405, 34.9, 124,   545, 0, 0, 0, 0, 9, 9,
RGI60-18.00064,G168038E44751S,19789999,-9999999, 168.038000000, -44.750900000,18, 1,         0.034, 1539, 1813, 1652, 59.6, 166,   135, 0, 0, 0, 0, 9, 9,
RGI60-18.00065,G168033E44697S,19789999,-9999999, 168.033000000, -44.696600000,18, 1,         0.112, 1405, 1646, 1510, 31.6, 151,   336, 0, 0, 0, 0, 9, 9,
RGI60-18.00066,G168019E44710S,19789999,-9999999, 168.019000000, -44.710200000,18, 1,         0.080, 1430, 1748, 1607, 37.6,  85,   398, 0, 0, 0, 0, 9, 9,
RGI60-18.00067,G168024E44728S,19789999,-9999999, 168.024000000, -44.728100000,18, 1,         0.179, 1226, 1509, 1360, 43.3, 158,   255, 0, 0, 0, 0, 9, 9,
RGI60-18.00068,G168022E44699S,19789999,-9999999, 168.022000000, -44.698900000,18, 1,         0.097, 1571, 1806, 1695, 37.9, 224,   304, 0, 0, 0, 0, 9, 9,
RGI60-18.00069,G168027E44702S,19789999,-9999999, 168.027000000, -44.701500000,18, 1,         0.218, 1400, 1684, 1548, 36.8, 124,   336, 0, 0, 0, 0, 9, 9,
