RGIId,GLIMSId,BgnDate,EndDate,CenLon,CenLat,O1Region,O2Region,Area,Zmin,Zmax,Zmed,Slope,Aspect,Lmax,Status,Connect,Form,TermType,Surging,Linkages,Name
RGI60-19.00001,G292519E66856S,19860218,20010219, -67.481000000, -66.856000000,19,20,        64.608,   10, 1350, -999,  7.8, 209,  8147, 0, 0, 1, 1, 9, 9,
RGI60-19.00002,G295214E67651S,-9999999,-9999999, -64.786100000, -67.650700000,19,21,        12.106,   10,  730, -999, 11.1, 144,  4898, 0, 0, 1, 5, 9, 9,
RGI60-19.00003,G295108E67657S,-9999999,-9999999, -64.891700000, -67.656900000,19,21,        13.364,   30,  670, -999, 15.8,  95,  2608, 0, 0, 0, 5, 9, 9,
RGI60-19.00004,G295123E67636S,-9999999,-9999999, -64.877200000, -67.635700000,19,21,         0.020,  450,  490, -999,  9.8, 249,   168, 0, 0, 0, 0, 9, 9,
RGI60-19.00005,G295065E67628S,-9999999,-9999999, -64.935000000, -67.628100000,19,21,        21.853,   50,  470, -999,  9.9, 218,  3655, 0, 0, 1, 5, 9, 9,
RGI60-19.00006,G292352E67230S,19860218,20010219, -67.648500000, -67.230100000,19,20,        17.126,   10,  630, -999, 11.6,  45,  4344, 0, 0, 0, 1, 9, 9,
RGI60-19.00007,G292804E67843S,19860218,19960101, -67.195900000, -67.842900000,19,20,         8.188,   10,  630, -999, 10.0, 252,  4155, 0, 0, 0, 1, 9, 9,
RGI60-19.00008,G292766E67860S,19860218,-9999999, -67.234500000, -67.859700000,19,20,         0.099,  290,  570, -999, 18.9, 287,   752, 0, 0, 0, 0, 9, 9,
RGI60-19.00009,G292765E67882S,19860218,-9999999, -67.235400000, -67.882000000,19,20,         9.115,   10,  810, -999, 18.9,  94,  2645, 0, 0, 0, 1, 9, 9,
RGI60-19.00010,G292730E67869S,19860218,-9999999, -67.269700000, -67.868500000,19,20,         3.421,   10,  830, -999, 18.8, 232,  2131, 0, 0, 0, 1, 9, 9,
RGI60-19.00011,G292257E67244S,19860218,20010219, -67.743500000, -67.244000000,19,20,         9.271,   10,  330, -999, 14.1, 244,  2260, 0, 0, 1, 1, 9, 9,
RGI60-19.00012,G292266E67268S,19860218,20010219, -67.734400000, -67.267700000,19,20,        18.712,   10,  430, -999, 11.0,  91,  4091, 0, 0, 0, 1, 9, 9,
RGI60-19.00013,G292513E67603S,19860218,20010219, -67.486700000, -67.602900000,19,20,         6.784,   10,  550, -999, 11.8, 269,  2311, 0, 0, 0, 1, 9, 9,
RGI60-19.00014,G292423E67060S,19860218,-9999999, -67.576700000, -67.060200000,19,20,         6.558,   10,  810, -999, 19.5, 355,  2294, 0, 0, 0, 1, 9, 9,
RGI60-19.00015,G292439E67631S,19860218,20010219, -67.561500000, -67.631400000,19,20,        22.374,   10,  990, -999, 11.4, 260,  8718, 0, 0, 1, 1, 9, 9,
RGI60-19.00016,G292565E67760S,19860218,-9999999, -67.435100000, -67.759800000,19,20,        10.722,   10, 1410, -999, 13.9,  67,  5552, 0, 0, 1, 1, 9, 9,
RGI60-19.00017,G292496E67766S,19860218,19910109, -67.504100000, -67.766100000,19,20,        18.476,   10, 1530, -999, 14.2, 123,  6161, 0, 0, 0, 1, 9, 9,
RGI60-19.00018,G292303E67657S,19860218,-9999999, -67.697300000, -67.657200000,19,20,         0.059,  410,  450, -999,  2.0, 206,   372, 0, 0, 0, 0, 9, 9,
RGI60-19.00019,G292327E67663S,19860218,-9999999, -67.673300000, -67.662800000,19,20,         0.023,  510,  550, -999,  7.3, 111,   127, 0, 0, 0, 0, 9, 9,
RGI60-19.00020,G292358E67662S,19860218,-9999999, -67.642200000, -67.661800000,19,20,        30.875,   10,  830, -999, 10.6, 149,  6395, 0, 0, 0, 1, 9, 9,
RGI60-19.00021,G292374E67749S,19860218,-9999999, -67.626000000, -67.749400000,19,20,         0.070, 1090, 1230, -999,  8.5,  71,   261, 0, 0, 0, 0, 9, 9,
RGI60-19.00022,G292440E67773S,19860218,-9999999, -67.559800000, -67.772700000,19,20,         0.031,  790,  870, -999,  4.2, 345,   313, 0, 0, 0, 0, 9, 9,
RGI60-19.00023,G292373E67762S,19860218,19910109, -67.626600000, -67.761800000,19,20,        24.811,   10, 1310, -999, 13.0, 149,  6686, 0, 0, 0, 1, 9, 9,
RGI60-19.00024,G292436E67707S,19860218,20010219, -67.564200000, -67.706600000,19,20,        55.027,   10, 1310, -999,  9.7, 214, 12009, 0, 0, 0, 1, 9, 9,
