RGIId,GLIMSId,BgnDate,EndDate,CenLon,CenLat,O1Region,O2Region,Area,Zmin,Zmax,Zmed,Slope,Aspect,Lmax,Status,Connect,Form,TermType,Surging,Linkages,Name
RGI60-05.00001,G306709E66077N,20000814,-9999999, -53.290900000,  66.076500000, 5, 1,         0.168,  689,  995,  868, 29.0,  25,   406, 0, 0, 0, 0, 9, 9,
RGI60-05.00002,G307930E65362N,20000823,-9999999, -52.070500000,  65.361700000, 5, 1,         0.118,  602,  704,  643, 14.0,  49,   283, 0, 0, 0, 0, 9, 9,
RGI60-05.00003,G307998E65579N,20000823,-9999999, -52.001700000,  65.579100000, 5, 1,         0.059,  646,  697,  683, 10.1,  28,   365, 0, 0, 0, 0, 9, 9,
RGI60-05.00004,G308201E65159N,20000823,-9999999, -51.799200000,  65.159000000, 5, 1,         0.188,  635,  775,  735, 11.8,  30,   392, 0, 0, 0, 0, 9, 9,
RGI60-05.00005,G308277E65179N,20000823,-9999999, -51.722800000,  65.178600000, 5, 1,         0.086,  711,  769,  747, 13.1,   1,   218, 0, 0, 0, 0, 9, 9,
RGI60-05.00006,G308126E65085N,20000823,-9999999, -51.873700000,  65.085300000, 5, 1,         0.227,  648,  757,  693, 13.5,   8,   408, 0, 0, 0, 0, 9, 9,
RGI60-05.00007,G308147E65085N,20000823,-9999999, -51.852600000,  65.085300000, 5, 1,         0.493,  545,  821,  723, 15.4,  39,   938, 0, 0, 0, 0, 9, 9,
RGI60-05.00008,G308267E65180N,20000823,-9999999, -51.732700000,  65.180000000, 5, 1,         0.096,  630,  745,  701, 17.2, 359,   331, 0, 0, 0, 0, 9, 9,
RGI60-05.00009,G307996E65255N,20000823,-9999999, -52.003700000,  65.255300000, 5, 1,         0.229,  767,  831,  796,  8.7,  25,   430, 0, 0, 0, 0, 9, 9,
RGI60-05.00010,G308067E65088N,20000823,-9999999, -51.932700000,  65.087800000, 5, 1,         0.449,  596,  730,  661, 14.5,  13,   583, 0, 0, 0, 0, 9, 9,
RGI60-05.00011,G307986E65086N,20000823,-9999999, -52.014200000,  65.086100000, 5, 1,         0.090,  656,  746,  705, 13.7, 330,   366, 0, 0, 0, 0, 9, 9,
RGI60-05.00012,G308035E65091N,20000823,-9999999, -51.965200000,  65.091100000, 5, 1,         0.574,  572,  759,  700, 11.2,  47,   836, 0, 0, 0, 0, 9, 9,
RGI60-05.00013,G307999E65091N,20000823,-9999999, -52.000700000,  65.091200000, 5, 1,         0.370,  520,  760,  685, 17.3, 359,   911, 0, 0, 0, 0, 9, 9,
RGI60-05.00014,G308032E65135N,20000823,-9999999, -51.967700000,  65.134800000, 5, 1,         0.144,  735,  789,  772, 10.1,  16,   258, 0, 0, 0, 0, 9, 9,
RGI60-05.00015,G308073E65140N,20000823,-9999999, -51.926900000,  65.139600000, 5, 1,         0.081,  653,  751,  696, 16.2, 351,   242, 0, 0, 0, 0, 9, 9,
RGI60-05.00016,G308060E65141N,20000823,-9999999, -51.940000000,  65.141400000, 5, 1,         0.168,  648,  783,  734, 15.5,  38,   349, 0, 0, 0, 0, 9, 9,
RGI60-05.00017,G308005E65259N,20000823,-9999999, -51.995400000,  65.259400000, 5, 1,         0.132,  705,  816,  770, 16.8,  36,   306, 0, 0, 0, 0, 9, 9,
RGI60-05.00018,G308181E65271N,20000823,-9999999, -51.818600000,  65.270600000, 5, 1,         0.112,  843,  904,  891,  8.4, 192,   182, 0, 0, 0, 0, 9, 9,
RGI60-05.00019,G308203E65272N,20000823,-9999999, -51.796700000,  65.272400000, 5, 1,         0.229,  772,  875,  819,  9.5, 114,   342, 0, 0, 0, 0, 9, 9,
RGI60-05.00020,G308204E65279N,20000823,-9999999, -51.795800000,  65.278900000, 5, 1,         1.014,  655,  911,  817, 12.3,  27,  1534, 0, 0, 0, 0, 9, 9,
RGI60-05.00021,G308240E65285N,20000823,-9999999, -51.760300000,  65.285300000, 5, 1,         0.133,  825,  876,  855,  7.9, 348,   411, 0, 0, 0, 0, 9, 9,
RGI60-05.00022,G308020E65278N,20000823,-9999999, -51.979600000,  65.278300000, 5, 1,         0.123,  685,  772,  742, 15.6,   1,   324, 0, 0, 0, 0, 9, 9,
RGI60-05.00023,G308267E65293N,20000823,-9999999, -51.732900000,  65.293400000, 5, 1,         0.862,  682,  854,  787, 10.2,  29,  1312, 0, 0, 0, 0, 9, 9,
RGI60-05.00024,G307896E65272N,20000823,-9999999, -52.103900000,  65.271800000, 5, 1,         1.682,  472, 1033,  844, 16.2, 344,  1191, 0, 0, 0, 0, 9, 9,
RGI60-05.00025,G308318E65303N,20000823,-9999999, -51.681900000,  65.302600000, 5, 1,         0.192,  715,  818,  779, 12.1, 358,   575, 0, 0, 0, 0, 9, 9,
RGI60-05.00026,G307915E65289N,20000823,-9999999, -52.085200000,  65.289100000, 5, 1,         0.056,  485,  763,  586, 27.1,  19,   527, 0, 0, 0, 0, 9, 9,
RGI60-05.00027,G308240E65320N,20000823,-9999999, -51.759900000,  65.319900000, 5, 1,         0.080,  774,  812,  795,  8.4, 334,   285, 0, 0, 0, 0, 9, 9,
RGI60-05.00028,G308132E65317N,20000823,-9999999, -51.868000000,  65.317200000, 5, 1,         0.081,  767,  811,  798,  7.1, 266,   272, 0, 0, 0, 0, 9, 9,
RGI60-05.00029,G308263E65323N,20000823,-9999999, -51.736600000,  65.322500000, 5, 1,         0.322,  708,  825,  796,  7.6,  33,   427, 0, 0, 0, 0, 9, 9,
RGI60-05.00030,G308238E65328N,20000823,-9999999, -51.761600000,  65.327700000, 5, 1,         0.117,  740,  787,  769,  9.4,   3,   319, 0, 0, 0, 0, 9, 9,
