RGIId,GLIMSId,BgnDate,EndDate,CenLon,CenLat,O1Region,O2Region,Area,Zmin,Zmax,Zmed,Slope,Aspect,Lmax,Status,Connect,Form,TermType,Surging,Linkages,Name
RGI60-12.00001,G042089E43200N,20000912,-9999999,  42.089100000,  43.200300000,12, 1,         0.078, 3054, 3391, 3202, 43.2, 163,   424, 0, 0, 0, 0, 9, 9,SU5T09104117
RGI60-12.00002,G042712E43199N,20010915,-9999999,  42.712100000,  43.199200000,12, 1,         0.042, 3271, 3363, 3340, 21.5,  49,   177, 0, 0, 0, 0, 9, 9,
RGI60-12.00003,G041843E43354N,20000912,-9999999,  41.842600000,  43.354300000,12, 1,         0.130, 3387, 3717, 3623, 28.8,  79,   388, 0, 0, 0, 0, 9, 9,SU4H08004196
RGI60-12.00004,G043814E42803N,19990818,-9999999,  43.813800000,  42.803100000,12, 1,         4.187, 2368, 4130, 3409, 24.7, 353,  5295, 0, 0, 0, 0, 9, 9,SU4G08008058
RGI60-12.00005,G042661E43119N,20010915,-9999999,  42.661100000,  43.119100000,12, 1,         0.033, 3751, 3961, 3848, 51.6, 145,   158, 0, 0, 0, 0, 9, 9,
RGI60-12.00006,G042516E43158N,20010915,-9999999,  42.515800000,  43.158300000,12, 1,         0.176, 3352, 3680, 3508, 31.9, 197,   538, 0, 0, 0, 0, 9, 9,SU5T09105230
RGI60-12.00007,G043520E42952N,20040815,-9999999,  43.520000000,  42.952300000,12, 1,         0.125, 3661, 3984, 3846, 34.4, 240,   508, 0, 0, 0, 0, 9, 9,
RGI60-12.00008,G043243E43097N,20040815,-9999999,  43.242700000,  43.097300000,12, 1,         0.101, 3365, 3606, 3482, 34.3, 333,   428, 0, 0, 0, 0, 9, 9,SU4G08007062
RGI60-12.00009,G041451E43300N,20000912,-9999999,  41.450600000,  43.300200000,12, 1,         0.390, 2558, 3331, 2912, 33.8, 217,  1182, 0, 0, 0, 0, 9, 9,SU5T09104025
RGI60-12.00010,G043758E42758N,19990818,-9999999,  43.757500000,  42.758400000,12, 1,         0.553, 3208, 3903, 3617, 27.6, 245,  1630, 0, 0, 0, 0, 9, 9,SU5T09106396
RGI60-12.00011,G044400E42697N,20040925,-9999999,  44.400100000,  42.697400000,12, 1,         1.688, 3231, 4292, 3844, 23.1, 166,  3290, 0, 0, 0, 0, 9, 9,SU4G08011064
RGI60-12.00012,G043507E42956N,20040815,-9999999,  43.507400000,  42.956400000,12, 1,         0.357, 3629, 4051, 3740, 30.4, 237,   863, 0, 0, 0, 0, 9, 9,SU4G08008014
RGI60-12.00013,G043242E43083N,20040815,-9999999,  43.242200000,  43.083400000,12, 1,         0.136, 3307, 3730, 3506, 42.0, 104,   464, 0, 0, 0, 0, 9, 9,
RGI60-12.00014,G042428E43378N,20000912,-9999999,  42.427600000,  43.377800000,12, 1,        12.843, 3053, 5611, 4098, 22.6, 357,  6902, 0, 0, 0, 0, 3, 9,Ulluchiran
RGI60-12.00015,G041551E43277N,20000912,-9999999,  41.551400000,  43.276800000,12, 1,         0.221, 2871, 3321, 3150, 32.7,  93,   641, 0, 0, 0, 0, 9, 9,SU4H08003141
RGI60-12.00016,G042831E43268N,20010915,-9999999,  42.830500000,  43.267500000,12, 1,         0.343, 3482, 4079, 3693, 36.0, 298,  1466, 0, 0, 0, 0, 9, 9,SU4G08005091
RGI60-12.00017,G042345E43128N,20000912,-9999999,  42.345400000,  43.128200000,12, 1,         0.210, 3109, 3489, 3199, 25.9,  74,   723, 0, 0, 0, 0, 9, 9,SU5T09105199
RGI60-12.00018,G042909E43235N,20010915,-9999999,  42.908600000,  43.235200000,12, 1,         0.163, 3543, 3972, 3674, 35.6,  84,   459, 0, 0, 0, 0, 9, 9,
RGI60-12.00019,G042877E43261N,20010915,-9999999,  42.877000000,  43.261000000,12, 1,         0.620, 3083, 3902, 3212, 19.5,  23,  2034, 0, 0, 0, 0, 9, 9,SU4G08005097
RGI60-12.00020,G044520E42696N,20040925,-9999999,  44.520400000,  42.696400000,12, 1,         0.134, 4722, 5007, 4922, 33.1, 105,   391, 0, 0, 0, 0, 9, 9,
RGI60-12.00021,G044135E42713N,20040925,-9999999,  44.135100000,  42.713000000,12, 1,         0.200, 3424, 3741, 3635, 32.8, 124,   540, 0, 0, 0, 0, 9, 9,SU4G08010012
RGI60-12.00022,G042468E43160N,20010915,-9999999,  42.467500000,  43.160000000,12, 1,         0.036, 3316, 3367, 3334, 17.4, 246,   182, 0, 0, 0, 0, 9, 9,
RGI60-12.00023,G043591E42861N,20040815,-9999999,  43.590600000,  42.861400000,12, 1,         1.424, 2471, 3501, 2971, 27.9,   9,  1931, 0, 0, 0, 0, 9, 9,SU4G08008036
RGI60-12.00024,G043522E42988N,20040815,-9999999,  43.521600000,  42.988000000,12, 1,         0.176, 3510, 3716, 3635, 19.8, 103,   704, 0, 0, 0, 0, 9, 9,SU4G08008001
RGI60-12.00025,G043587E42859N,20040815,-9999999,  43.587000000,  42.859000000,12, 1,         0.015, 2980, 3139, 3047, 28.2,  12,   302, 0, 0, 0, 0, 9, 9,SU4G08008036
RGI60-12.00026,G043468E42868N,20040815,-9999999,  43.468200000,  42.868100000,12, 1,         0.124, 3097, 3535, 3276, 39.8, 318,   501, 0, 0, 0, 0, 9, 9,
RGI60-12.00027,G042214E43290N,20000912,-9999999,  42.213600000,  43.290300000,12, 1,         0.166, 3127, 3430, 3294, 27.2, 347,   615, 0, 0, 0, 0, 9, 9,SU4H08004278
RGI60-12.00028,G043469E42974N,20040815,-9999999,  43.469000000,  42.974300000,12, 1,         0.051, 3624, 3950, 3840, 48.5,   8,   285, 0, 0, 0, 0, 9, 9,SU4G08007154
RGI60-12.00029,G042112E43132N,20000912,-9999999,  42.112200000,  43.131900000,12, 1,         0.031, 3131, 3211, 3170, 21.5, 178,   224, 0, 0, 0, 0, 9, 9,SU5T09105143
RGI60-12.00030,G041862E43202N,20000912,-9999999,  41.861800000,  43.201900000,12, 1,         0.233, 2599, 3024, 2763, 30.5,  61,   605, 0, 0, 0, 0, 9, 9,SU5T09104078
RGI60-12.00031,G042694E43141N,20010915,-9999999,  42.693700000,  43.141300000,12, 1,         8.396, 1865, 4138, 3212, 20.0, 134,  6912, 0, 0, 0, 0, 9, 9,SU5T09105245
RGI60-12.00032,G042615E43330N,20010915,-9999999,  42.615000000,  43.329700000,12, 1,         1.834, 3158, 3902, 3545, 23.7,  20,  1863, 0, 0, 0, 0, 9, 9,SU4G08005013
RGI60-12.00033,G043003E43026N,20010915,-9999999,  43.003100000,  43.026100000,12, 1,         0.423, 3766, 4471, 4222, 33.0, 127,  1210, 0, 0, 0, 0, 9, 9,SU5T09105285
RGI60-12.00034,G042528E43173N,20010915,-9999999,  42.527500000,  43.172800000,12, 1,         6.711, 2687, 4413, 3309, 17.4, 126,  5847, 0, 0, 0, 0, 9, 9,SU5T09105234
